candidate_rank,name,host_name,star_class,planet_mass_earth,planet_radius_earth,semi_major_axis_au,insolation_earth,density_earth,gravity_earth,ECEE_score,planetary_battery_score,rocky_boundary_gate,usable_battery_score,battery_coherence_usable_score,branch_classification,search_note
39,Kepler-560 b,Kepler-560,M,5.464503961483402,1.72,0.0954693342307349,1.7212415108888413,1.0739038625300683,1.847114643551718,0.4630205269545452,0.6897133535813248,1.0,0.6897133535813248,0.5764847977326161,dense M-dwarf retained-battery branch,dense M-dwarf retained-battery target; tidal/stellar activity check needed
40,LHS 1140 b,LHS 1140,M,5.6,1.73,0.0946,0.43,1.0815577599161947,1.8710949246550168,0.5410893364211998,0.6064688424739441,1.0,0.6064688424739441,0.5761236591446921,dense M-dwarf retained-battery branch,dense M-dwarf retained-battery target; tidal/stellar activity check needed
41,Kepler-1649 c,Kepler-1649,M,1.2405997847581895,1.06,0.0826967328716371,0.75,1.041631501808699,1.1041293919172208,0.4196220067544074,0.6388080956955662,1.0,0.6388080956955662,0.528737291038064,dense M-dwarf retained-battery branch,dense M-dwarf retained-battery target; tidal/stellar activity check needed
42,K2-125 b,K2-125,M,5.841995768299834,2.18,0.121,2.0,0.5638865778584721,1.229272739731469,0.3545243600756591,0.7097462334933239,0.9385388359426358,0.6661244037974944,0.5015291454276845,Venus/runaway over-flux branch,borderline large/low-density: prioritize mass-spectrum check
43,TOI-6002 b,TOI-6002,M,5.177175551819871,1.65,0.05722,1.6823,1.1525003315401667,1.901625547041275,0.3552202088538211,0.5563997140781669,1.0,0.5563997140781669,0.4546599955582861,dense M-dwarf retained-battery branch,dense M-dwarf retained-battery target; tidal/stellar activity check needed
44,TRAPPIST-1 g,TRAPPIST-1,M,1.321,1.129,0.04683,0.252,0.9179541547553224,1.0363702407187594,0.2606964566835027,0.6730462450955871,1.0,0.6730462450955871,0.4392234368486743,dense M-dwarf retained-battery branch,dense M-dwarf retained-battery target; tidal/stellar activity check needed
45,Kepler-441 b,Kepler-441,K,5.136422818108281,1.64,0.64,0.21,1.1644724617016862,1.9097348371907648,0.4166450546124231,0.4511314038271674,1.0,0.4511314038271674,0.4352727578223016,partial / insufficient-data coherence candidate,prime K-dwarf outer usable-battery target
46,TOI-1452 b,TOI-1452,M,4.82,1.672,0.061,1.8,1.0311888748888338,1.7241477988141298,0.3135653048287103,0.5453388720024921,1.0,0.5453388720024921,0.4251225596372328,compact M-dwarf high-tidal branch,dense M-dwarf retained-battery target; tidal/stellar activity check needed
47,Kepler-1630 b,Kepler-1630,K,5.860741588533739,2.19,1.0876766482740594,0.1520627971239458,0.5579820503449139,1.2219806902553614,0.3082934299210718,0.4989964121729645,0.9313830880870438,0.464756819314011,0.3863741789973292,partial / insufficient-data coherence candidate,borderline large/low-density: prioritize mass-spectrum check
48,TOI-2095 c,TOI-2095,M,7.4,1.33,0.137,1.84,3.1454066224411155,4.183390807846684,0.4079431089236975,0.34563292762485,1.0,0.34563292762485,0.3723986784252051,compact M-dwarf high-tidal branch,dense M-dwarf retained-battery target; tidal/stellar activity check needed
49,TRAPPIST-1 f,TRAPPIST-1,M,1.039,1.045,0.03849,0.373,0.9104721716130508,0.951443419335638,0.2004039509827806,0.4860958834385125,1.0,0.4860958834385125,0.3262532859721579,compact M-dwarf high-tidal branch,dense M-dwarf retained-battery target; tidal/stellar activity check needed
50,TOI-700 e,TOI-700,M,0.8368425079741828,0.953,0.134,1.27,0.9668631992903672,0.92142062892372,0.218582553986629,0.4052625776853987,1.0,0.4052625776853987,0.3069601861675832,compact M-dwarf high-tidal branch,dense M-dwarf retained-battery target; tidal/stellar activity check needed; mass inferred from radius
51,Kepler-445 d,Kepler-445,M,2.283321405816946,1.25,0.0447610331408198,1.9698421372465575,1.1690605597782766,1.461325699722846,0.1003800841658033,0.2846545863333409,1.0,0.2846545863333409,0.1780805146137488,compact M-dwarf high-tidal branch,dense M-dwarf retained-battery target; tidal/stellar activity check needed
52,Gliese 12 b,Gliese 12,M,0.95,0.93,0.0677723481572122,1.6897196797879972,1.1810676105261717,1.0983928777893397,0.0766471708090885,0.2204821345618254,1.0,0.2204821345618254,0.1370498708539105,compact M-dwarf high-tidal branch,dense M-dwarf retained-battery target; tidal/stellar activity check needed
53,TRAPPIST-1 e,TRAPPIST-1,M,0.692,0.92,0.02925,0.646,0.8886742828963589,0.8175803402646502,0.0421527236935758,0.1339330354292653,1.0,0.1339330354292653,0.079608562195252,compact M-dwarf high-tidal branch,dense M-dwarf retained-battery target; tidal/stellar activity check needed
54,Kepler-62 e,Kepler-62,K,36.0,1.61,0.427,1.190758931136061,8.626306256396344,13.888353072798116,0.3795873903922196,0.0115636182568148,0.55,0.0063599900412481,0.0400489689033306,partial / insufficient-data coherence candidate,usable-battery candidate; needs follow-up constraints
55,TRAPPIST-1 d,TRAPPIST-1,M,0.388,0.788,0.02227,1.115,0.7929632733419284,0.6248550593934397,0.0190263239056226,0.0499978553285026,1.0,0.0499978553285026,0.0323692737291946,compact M-dwarf high-tidal branch,dense M-dwarf retained-battery target; tidal/stellar activity check needed; mass inferred from radius
56,LP 890-9 c,LP 890-9,M,25.3,1.367,0.03984,0.906,9.904099105523503,13.53890347725063,0.2661668834453276,0.0076574874234046,0.55,0.0042116180828725,0.0272123625664114,compact M-dwarf high-tidal branch,dense M-dwarf retained-battery target; tidal/stellar activity check needed
57,Kepler-62 f,Kepler-62,K,35.0,1.41,0.718,0.4211440886459346,12.485637058226947,17.6047482521,0.3631052505113538,0.004763319489303,0.55,0.0026198257191166,0.0241026313750864,partial / insufficient-data coherence candidate,prime K-dwarf outer usable-battery target
