model,predictors,N,k_params,RMSE,R2,AIC,BIC,coef_intercept,se_intercept,t_intercept,coef_logMstar,se_logMstar,t_logMstar,coef_mass_high_10,se_mass_high_10,t_mass_high_10,coef_z_use,se_z_use,t_z_use,coef_logz,se_logz,t_logz
M0_intercept_only,intercept_only,1698,1,0.17311900342534678,0.0,-5953.82343148251,-5948.386225115639,-0.00015785793489309975,0.004202462262432426,-0.03756320105578534,,,,,,,,,,,,
M1_linear_logMstar,logMstar,1698,2,0.17311548812879868,4.06109183662684e-05,-5951.892390222145,-5941.017977488403,-0.00015785793489309975,0.004203615654364474,-0.037552894430108306,0.0011032302175868758,0.004203615654364474,0.26244792775986275,,,,,,,,,
M2_mass_step_10,mass_high_10,1698,2,0.1730783336698502,0.0004697921955120199,-5952.621326067493,-5941.746913333751,-0.00015785793489309975,0.004202713464346968,-0.03756095585203743,,,,0.003752300767960649,0.004202713464346966,0.8928281215916052,,,,,,
M3_logMstar_plus_z,"logMstar,z_use",1698,3,0.17221787102183336,0.010383459513368276,-5967.5467203327025,-5951.235101232089,-0.00015785793489309975,0.004183052977428348,-0.037737493583011573,0.0005053466875791605,0.004185464224662655,0.12073850365305443,,,,-0.017616316172652535,0.004185464224662655,-4.208927666577391,,,
M4_logMstar_plus_logz,"logMstar,logz",1698,3,0.17195260099052506,0.013429756980130603,-5972.781667999439,-5956.470048898826,-0.00015785793489309972,0.004176609751834495,-0.037795710940856674,0.0012043410573485255,0.0041766629558247295,0.2883500703998546,,,,,,,-0.020032110873979995,0.0041766629558247295,-4.796200001257805
