variable,pearson_r_with_mu_resid,N
logMstar,-0.3524028306941785,9000
logD_reg,-0.5937943388026188,9000
F_fill,-0.4893803418260474,9000
G_absorb,0.6566930946792491,9000
G_sat,-0.6566930946792491,9000
G_overflow,-0.5886286416486759,9000
stellar_age_Gyr,-0.5128966282081349,9000
sigma_v_km_s,-0.5326167754283894,9000
Reff_kpc,-0.01590518261859315,9000
logsSFR,0.4985896103125593,9000
metallicity,-0.3308524191408844,9000
