proxy,amp,Dsat,q,best_model,best_BIC,BIC_mass_only,delta_BIC_best_minus_mass,mass_step_mu_high_minus_low,H0_split_highD_minus_lowD,score
D_MR_age,-0.07,0.8,7.0,D_MR_age,-11415.044744374509,-11294.707662791845,-120.33708158266381,-0.05044268802209169,2.6823786551214823,0.029557311977908313
D_MR_age,-0.07,0.8,5.0,D_MR_age,-11427.176526698295,-11310.413456614784,-116.76307008351068,-0.05042002367113013,2.676038220130735,0.02957997632886987
D_MR_age,-0.07,0.8,3.0,D_MR_age,-11450.370499849598,-11345.658363993572,-104.71213585602527,-0.04983266936708494,2.6181395726967622,0.03016733063291506
D_sigma_age,-0.085,0.8,7.0,E_sigma_age,-11409.511232292303,-11178.903045925905,-230.6081863663985,-0.04945223649002478,3.0927273765385905,0.03054776350997522
D_sigma_age,-0.085,0.8,5.0,E_sigma_age,-11427.592072599733,-11204.658308347041,-222.93376425269162,-0.04916565296959581,3.0619468962661074,0.03083434703040419
D_sigma_age,-0.1,1.2,3.0,F_sigma_age_controls,-11439.740805855465,-11130.240122247182,-309.500683608283,-0.048962785664481784,3.450500201582045,0.031037214335518218
D_sigma_age,-0.1,1.2,5.0,F_sigma_age_controls,-11407.57574446757,-11042.899397588246,-364.6763468793233,-0.04875867268966537,3.579823000549524,0.031241327310334632
D_MR_age,-0.07,1.0,7.0,D_MR_age,-11411.72821684966,-11288.899693859257,-122.82852299040314,-0.04850627248131366,2.6827751102660216,0.03149372751868634
D_MR_age,-0.07,1.0,5.0,D_MR_age,-11425.497165449022,-11306.891148525108,-118.60601692391356,-0.04848321395994598,2.677636409573651,0.03151678604005402
D_sigma_age,-0.1,1.2,7.0,F_sigma_age_controls,-11389.688461191705,-11007.137928609598,-382.5505325821068,-0.048081270747100224,3.5940917737037665,0.03191872925289978
D_MR_age,-0.07,1.0,3.0,D_MR_age,-11449.594827239738,-11344.148923374243,-105.44590386549498,-0.04790330403332234,2.6216999886732566,0.03209669596667766
D_sigma_age,-0.085,0.8,3.0,E_sigma_age,-11454.46069912366,-11256.54073253927,-197.91996658438984,-0.0475732276827593,2.9181378109420706,0.0324267723172407
D_sigma_age,-0.1,1.4,3.0,F_sigma_age_controls,-11439.6679012369,-11128.686055979364,-310.9818452575364,-0.047237050335216205,3.426116179760214,0.0327629496647838
D_sigma_age,-0.1,1.4,5.0,F_sigma_age_controls,-11409.151953492517,-11038.421611928128,-370.73034156438916,-0.047104901316062264,3.572069426420427,0.03289509868393774
D_MR_age,-0.07,1.2,5.0,D_MR_age,-11425.60802474027,-11310.899250039192,-114.70877470107735,-0.046868669492951806,2.6733645261681716,0.033131330507048196
D_sigma_age,-0.1,1.4,7.0,F_sigma_age_controls,-11392.814859806926,-11001.589924873262,-391.22493493366346,-0.0465942128725015,3.592207433979624,0.033405787127498504
D_MR_age,-0.07,1.2,3.0,D_MR_age,-11449.314642003017,-11347.51709868078,-101.79754332223638,-0.04612690083866042,2.6054937798349016,0.033873099161339584
