variable,pearson_r_with_mu_resid,N
logMstar,-0.3343083069392666,7000
logD_potential_only,-0.42218403171858354,7000
logD_MR_age,-0.48184059326882334,7000
logD_sigma_age,-0.4665026235865703,7000
G_sat_literature,-0.516209675148494,7000
stellar_age_Gyr,-0.37516023926204783,7000
Reff_kpc,-0.025927506311181046,7000
sigma_v_km_s,-0.43168390814937274,7000
logsSFR,0.3669602559390885,7000
metallicity,-0.27346114224953,7000
