variable,pearson_r_with_mu_resid,N
logMstar,0.006372669642028057,1698
logD_reg,0.0063726696420280645,1698
F_fill,-0.006600436874542878,1698
G_sat,0.0035031486576525468,1698
G_overflow,-0.014607334561770255,1698
Reff_kpc,,1698
stellar_age_Gyr,,1698
sigma_v_km_s,,1698
logsSFR,,1698
metallicity,-2.7193198754781897e-17,1698
