z,E_LCDM,E_Flux,w_Flux,Omega_DE_Flux,zfit,H0_eff_curve
0.0,1.0,1.0,-1.005,0.7,0.05,67.39159704561197
0.0037546933667083854,1.001694592925954,1.001674952420592,-1.0049998884129432,0.6976218075589445,0.052440550688360454,67.39121235932934
0.007509386733416771,1.0033989743888756,1.003359834283717,-1.0049995575126824,0.6952419185525978,0.054881101376720906,67.39082767304672
0.011264080100125156,1.0051131418089072,1.0050546431609106,-1.0049990073425215,0.6928604642177923,0.05732165206508136,67.39044298676407
0.015018773466833541,1.0068370923437104,1.0067593763483516,-1.0049982379740463,0.6904775751668578,0.05976220275344181,67.39005830048144
0.018773466833541926,1.0085709833420076,1.0084741936418256,-1.0049972459135161,0.6880933622655482,0.06220275344180226,67.38968180753172
0.02252816020025031,1.0103146618468233,1.0101989400383236,-1.0049960346423994,0.6857079773018323,0.06464330413016271,67.38930543999014
0.026282853566958697,1.0120681132361977,1.0119336008562843,-1.0049946045649776,0.683321550314457,0.06708385481852316,67.38892907244855
0.030037546933667083,1.0138313336272715,1.0136781722992974,-1.0049929558674748,0.6809342091723706,0.06952440550688362,67.38855270490697
0.03379224030037547,1.0156044681027936,1.015432801691132,-1.0049910854292232,0.6785460710843869,0.07196495619524407,67.38818431308115
0.03754693366708385,1.0173873848409454,1.0171973554239293,-1.0049889963470795,0.6761572753588742,0.0744055068836045,67.38781616920505
0.04130162703379224,1.019180057252922,1.0189718066379234,-1.0049866893841881,0.6737679493556933,0.07684605757196496,67.38744802532895
0.04505632040050062,1.0209824804567404,1.0207561504860445,-1.0049841648407547,0.6713782178888016,0.07928660826032541,67.38707988145283
0.04881101376720901,1.022794787290551,1.0225505218383553,-1.00498141997309,0.6689882028735117,0.08172715894868586,67.38671950844521
0.052565707133917394,1.0246168670834408,1.0243548085023595,-1.0049784574909968,0.6665980332833638,0.08416770963704631,67.38635950353134
0.056320400500625784,1.026448681369259,1.0261689715301412,-1.0049752785124166,0.664207832387704,0.08660826032540676,67.38599949861748
0.060075093867334166,1.0282902243088514,1.0279930050666766,-1.0049718834504813,0.6618177216622201,0.0890488110137672,67.38563949370362
0.06382978723404255,1.03014161653335,1.0298270315637932,-1.004968269940381,0.6594278261479869,0.09148936170212765,67.38528704641426
0.06758448060075094,1.032002768510414,1.0316709602352767,-1.0049644403051452,0.6570382665845295,0.09392991239048812,67.38493508410616
0.07133917396745933,1.0338736299993543,1.0335247401493222,-1.0049603960115199,0.6546491608138054,0.09637046307884857,67.38458312179804
0.0750938673341677,1.035754194246187,1.0353883644862478,-1.0049561375841094,0.6522606267186175,0.09881101376720902,67.38423115948994
0.07884856070087609,1.0376445697279006,1.0372619433313464,-1.0049516630368909,0.6498727909475863,0.10125156445556947,67.38388648832785
0.08260325406758448,1.0395446880116468,1.0391454072676574,-1.0049469743091004,0.6474857680523108,0.10369211514392992,67.38354241155265
0.08635794743429287,1.0414544871973819,1.0410386934969857,-1.0049420732084005,0.6450996691899188,0.10613266583229036,67.38319833477746
