SNID,Reff_kpc,stellar_age_Gyr,sigma_v_km_s,logsSFR,metallicity,morphology
1990O,4.8,5.6,180.0,-10.8,8.85,early/quiescent
1990af,7.2,2.1,105.0,-9.5,8.62,late/star-forming
