t,a,z,H,sigma,C_sigma_base,rho_m,rho_r,C_sigma,G_esc,G_leak,Sdot_struct,source_gated,throughput_raw,rho_DE_flux,Omega_DE_flux,w_flux
0.0,4.5399929762484854e-05,22025.465794806714,4938685.694573985,5.0,1.0,3205942374457.3384,21184674015331.797,0.9749999999693023,0.02500000003069769,1.4722727239049926e-26,1.1150305043260737e-11,4.104072499642687e-39,0.0,0.6301889999999999,2.583735441240449e-14,-1.0
2.534414724454932e-10,4.545672226166654e-05,21997.946475806413,4926757.853162124,5.0,1.0,3193941106837.2046,21079001836856.867,0.974999999969187,0.02500000003081304,1.4870711698438774e-26,1.1190806100611397e-11,4.1603812850108074e-39,1.0472776680701554e-48,0.6301889999999999,2.5962612010493848e-14,-1.0
5.074965236309341e-10,4.551358580474595e-05,21970.46153875937,4914859.258574199,5.0,1.0,3181984765297.3354,20973856766294.598,0.9749999999690713,0.025000000030928726,1.5020183613233676e-26,1.1231454271771805e-11,4.2174626403588855e-39,2.1114944517118716e-48,0.6301889999999999,2.6088472189047862e-14,-1.0
7.621666162708902e-10,4.557052048059444e-05,21943.010940709704,4902989.838457329,5.0,1.0,3170073181659.4717,20869236174355.76,0.9749999999689549,0.025000000031045078,1.5171157934487824e-26,1.1272250091121434e-11,4.2753271655453156e-39,3.1929242350325204e-48,0.6301889999999999,2.6214937819846078e-14,-1.0
1.0174532164910625e-09,4.5627526378194784e-05,21915.594638755083,4891149.5206384165,5.0,1.0,3158206188374.871,20765137444865.95,0.9749999999688383,0.02500000003116165,1.532364976353452e-26,1.1313194094981077e-11,4.333985605861589e-39,4.2918453288548093e-48,0.6301889999999999,2.6342011788199757e-14,-1.0
1.2733577938349035e-09,4.568460358664106e-05,21888.212590046784,4879338.23312375,5.0,1.0,3146383618521.999,20661557974700.613,0.9749999999687212,0.02500000003127878,1.5477674353497e-26,1.1354286821619715e-11,4.393448854027679e-39,5.4085405422318275e-48,0.6301889999999999,2.646969699301424e-14,-1.0
1.529881821270238e-09,4.574175219513855e-05,21860.864751789733,4867555.904098611,5.0,1.0,3134605305804.237,20558495173720.418,0.9749999999686036,0.025000000031396352,1.563324711081356e-26,1.1395528811261426e-11,4.4537279522143664e-39,6.543297255116672e-48,0.6301889999999999,2.6597996346851534e-14,-1.0
1.7870267751991752e-09,4.579897229300438e-05,21833.551081242193,4855802.461926716,5.0,1.0,3122871084547.432,20455946464705.535,0.9749999999684857,0.025000000031514258,1.579038359677996e-26,1.1436920606092874e-11,4.514834094094357e-39,7.696407492220108e-48,0.6301889999999999,2.6726912775994947e-14,-1.0
2.0447941354647707e-09,4.5856263969667396e-05,21806.27153571585,4844077.835149839,5.0,1.0,3111180789697.63,20353909283291.727,0.9749999999683673,0.02500000003163272,1.5949099529105147e-26,1.1478462750270181e-11,4.576778626920666e-39,8.868167998046684e-48,0.6301889999999999,2.6856449220512176e-14,-1.0
2.303185385357687e-09,4.5913627314668085e-05,21779.026072575816,4832381.9524874,5.0,1.0,3099534256818.791,20252381077906.55,0.9749999999682485,0.025000000031751513,1.6109410783482917e-26,1.1520155789925983e-11,4.639573053633458e-39,1.0058880313142214e-47,0.6301889999999999,2.69866086343189e-14,-1.0
