proxy,Dsat,q_sat,phi0,best_model,best_BIC,BIC_mass_only,BIC_capacity_state,delta_BIC_capacity_minus_mass,mass_step_mu_high_minus_low,H0_overflow_minus_filling,score
MR_age,1.3,7.0,0.1,E_Gsat,-11495.248404292119,-10300.60947504705,-11480.67800742067,-1180.0685323736216,-0.10284725160809477,6.876655261254882,0.022847251608094768
MR_age,1.15,3.0,0.1,E_Gsat,-11495.716769832286,-10576.302813834836,-11481.308253757228,-905.0054399223918,-0.10367134703831452,6.106583935799577,0.023671347038314514
hybrid,1.3,5.0,0.055,E_Gsat,-11497.161807880115,-11013.618406515541,-11481.71278296818,-468.09437645263824,-0.05630265988482654,3.8777107562309396,0.02369734011517346
sigma_age,0.75,3.0,0.055,E_Gsat,-11496.05005012856,-11131.53432019885,-11481.463895290148,-349.929575091297,-0.056241285304819616,3.299601999020112,0.023758714695180386
hybrid,1.3,7.0,0.055,E_Gsat,-11497.415265058058,-10968.30088441545,-11481.892227069307,-513.5913426538573,-0.05617303276989773,4.003586477058732,0.023826967230102275
hybrid,1.3,3.0,0.055,E_Gsat,-11496.704514970947,-11113.499089044566,-11481.325974788862,-367.8268857442963,-0.05586441291485602,3.522816488203631,0.024135587085143982
hybrid,0.75,3.0,0.1,E_Gsat,-11496.71120487587,-10541.088473743861,-11481.063142088084,-939.9746683442227,-0.10416265940128895,6.010224414079104,0.02416265940128895
sigma_age,0.9,5.0,0.055,E_Gsat,-11496.691151619132,-10996.361285378052,-11481.413144333292,-485.05185895523937,-0.05554612650921877,3.7844395858147806,0.02445387349078123
sigma_age,0.9,7.0,0.055,E_Gsat,-11496.660052117217,-10950.964521605945,-11481.394771097168,-530.4302494912226,-0.05540446489369562,3.9211211441219973,0.024595535106304384
MR_age,1.15,5.0,0.1,E_Gsat,-11495.929419220225,-10373.85841493054,-11481.311591985163,-1107.4531770546218,-0.10551028589615899,6.692356751107724,0.025510285896158988
sigma_age,0.9,3.0,0.055,E_Gsat,-11496.59483807211,-11092.844448807486,-11481.259496250654,-388.4150474431681,-0.05438729072584424,3.412251204505637,0.025612709274155765
hybrid,0.75,7.0,0.1,E_Gsat,-11495.99234366065,-10251.644873891755,-11480.463456899715,-1228.8185830079601,-0.1057376506077603,6.867672691798049,0.0257376506077603
MR_age,1.15,7.0,0.1,E_Gsat,-11496.21891210027,-10279.666927614866,-11481.45788015354,-1201.790952538675,-0.10578622584329897,6.900455999401487,0.02578622584329897
hybrid,0.75,5.0,0.1,E_Gsat,-11496.323846017382,-10343.072342647694,-11480.722303307019,-1137.6499606593243,-0.10607896584029736,6.639129101426732,0.026078965840297355
sigma_age,1.0,5.0,0.055,E_Gsat,-11497.072600514195,-10973.253913747765,-11481.514771164046,-508.2608574162805,-0.053525950527353885,3.8240916696825167,0.026474049472646116
sigma_age,1.0,3.0,0.055,E_Gsat,-11496.830778297104,-11075.503253505387,-11481.262151143044,-405.75889763765736,-0.05310867266704757,3.4532624877260503,0.02689132733295243
sigma_age,1.0,7.0,0.055,E_Gsat,-11497.049480872089,-10927.968745398539,-11481.513239808892,-553.5444944103529,-0.053027158635797475,3.9557628772285796,0.026972841364202527
MR_age,1.0,3.0,0.1,E_Gsat,-11496.172337024933,-10569.295678863944,-11481.250207343215,-911.9545284792712,-0.10760845388977243,6.125915172506126,0.027608453889772427
sigma_age,1.15,3.0,0.055,E_Gsat,-11497.024763805104,-11059.929498616071,-11481.38501714056,-421.45551852448807,-0.051315452152824015,3.4702455505505725,0.028684547847175987
sigma_age,1.15,5.0,0.055,E_Gsat,-11497.442622353481,-10952.429842541726,-11481.805436667735,-529.3755941260097,-0.05112639263545477,3.8382504859278583,0.02887360736454523
MR_age,1.0,7.0,0.1,E_Gsat,-11496.950384920177,-10273.364556558552,-11481.678523837196,-1208.3139672786438,-0.10912865067776255,6.9219563802089965,0.029128650677762546
MR_age,1.0,5.0,0.1,E_Gsat,-11496.576610873466,-10366.454974130067,-11481.451177780013,-1114.9962036499455,-0.10913726463772916,6.712139474814194,0.029137264637729157
sigma_age,1.15,7.0,0.055,E_Gsat,-11497.469621188102,-10907.685951265694,-11481.824215470633,-574.1382642049393,-0.05034347458702068,3.9626990962614315,0.02965652541297932
sigma_age,1.3,3.0,0.055,E_Gsat,-11497.064204834145,-11054.295972745687,-11481.651581369017,-427.3556086233293,-0.04971910687552771,3.517006569142737,0.03028089312447229
MR_age,0.9,3.0,0.1,E_Gsat,-11496.449566900756,-10571.439606928088,-11481.214090163494,-909.7744832354056,-0.11037148985975459,6.152836833952961,0.03037148985975459
sigma_age,1.3,5.0,0.055,E_Gsat,-11497.617702039119,-10943.831011057586,-11482.24272947007,-538.4117184124843,-0.04940540269318405,3.885492669097303,0.03059459730681595
sigma_age,1.3,7.0,0.055,E_Gsat,-11497.719990959531,-10898.813210721626,-11482.286333896427,-583.473123174801,-0.04864059409041324,4.007336140091866,0.03135940590958676
MR_age,0.9,7.0,0.1,E_Gsat,-11497.03238352338,-10280.041696207489,-11481.472482205836,-1201.4307859983473,-0.11180138527825792,6.958319084537038,0.03180138527825792
MR_age,0.9,5.0,0.1,E_Gsat,-11496.824265655205,-10370.457150220145,-11481.392743506787,-1110.935593286642,-0.1118423265777966,6.743508594150896,0.03184232657779659
MR_age,0.75,3.0,0.1,E_Gsat,-11496.758507920127,-10589.780268309703,-11481.308377940666,-891.5281096309627,-0.11474378442138786,6.1212194862979885,0.034743784421387855
MR_age,0.75,5.0,0.1,E_Gsat,-11496.89550213977,-10395.681233073978,-11481.29868445514,-1085.617451381162,-0.11651165995822986,6.701875392887544,0.03651165995822986
MR_age,0.75,7.0,0.1,E_Gsat,-11496.699217152256,-10307.801896509829,-11481.053743257375,-1173.2518467475456,-0.11653666061816569,6.911671204959902,0.036536660618165684
