z_leak,m,n,rho_floor_frac,lambda0,Omega_DE_0,Omega_DE_1090,w0,w_z1,w_z2,w_z3,hump_abs_z1_3,hump_signed_z2,score,pass_basic
12.0,8.0,1.0,0.9,0.2295209098423597,0.7000000000000001,1.2187283084634588e-09,-1.014143774878395,-1.0304690703921917,-1.0263169528280764,-1.0103689509989293,0.03266398399514969,-0.026316952828076445,0.14143774878395132,True
12.0,7.0,1.0,0.9,0.22954395039222045,0.7000000000000001,1.2187283084634588e-09,-1.0141451945356248,-1.030472217871969,-1.0263191088564378,-1.010368210794014,0.032667291576861546,-0.026319108856437845,0.14145194535624905,True
11.0,8.0,1.0,0.9,0.22955271121667598,0.7000000000000001,1.2187283084634588e-09,-1.0141457346118885,-1.0304734794504584,-1.0263207236249328,-1.0103697849177442,0.032668761039038374,-0.026320723624932763,0.14145734611888616,True
11.0,7.0,1.0,0.9,0.2295868906680876,0.7000000000000001,1.2187283084634588e-09,-1.014147840545786,-1.0304781357849024,-1.0263237616293022,-1.0103683034580069,0.032673625499749503,-0.026323761629302167,0.14147840545786106,True
12.0,6.0,1.0,0.9,0.22959518423567035,0.7000000000000001,1.2187283084634588e-09,-1.0141483490883896,-1.0304789885846748,-1.0263223869489329,-1.0103646166860805,0.03267405793504463,-0.026322386948932852,0.1414834908838969,True
10.0,8.0,1.0,0.9,0.2296078061603683,0.7000000000000001,1.2187283084634588e-09,-1.0141491297863072,-1.0304811147205102,-1.0263271806934504,-1.0103709326834371,0.032677023192671184,-0.026327180693450414,0.14149129786307335,True
10.0,7.0,1.0,0.9,0.22965972287309866,0.7000000000000001,1.2187283084634588e-09,-1.0141523284735352,-1.030488161269499,-1.026331472196953,-1.0103679301447681,0.03268432615904726,-0.026331472196952976,0.14152328473535314,True
11.0,6.0,1.0,0.9,0.22966040879211344,0.7000000000000001,1.2187283084634588e-09,-1.014152366714931,-1.030487797037316,-1.0263280259945249,-1.0103624003822904,0.03268318501962608,-0.026328025994524884,0.14152366714931142,True
9.0,8.0,1.0,0.9,0.22970712644419028,0.7000000000000001,1.2187283084634588e-09,-1.0141552502901812,-1.0304948705005283,-1.0263386258184573,-1.0103722371012192,0.032691881666181644,-0.02633862581845725,0.14155250290181276,True
12.0,5.0,1.0,0.9,0.22972818532093198,0.7000000000000001,1.2187283084634588e-09,-1.0141565099305427,-1.0304952064960329,-1.026325456417482,-1.010351241566898,0.032688745599633195,-0.026325456417481963,0.1415650993054285,True
10.0,6.0,1.0,0.9,0.22976752397712774,0.7000000000000001,1.2187283084634588e-09,-1.0141589643879114,-1.0305022237261794,-1.026336898991428,-1.0103579189765832,0.03269805831331496,-0.026336898991428104,0.14158964387911532,True
9.0,7.0,1.0,0.9,0.22978809645690673,0.7000000000000001,1.2187283084634588e-09,-1.0141602387606155,-1.030505803367566,-1.026344628714576,-1.0103660045070668,0.032703085392294495,-0.0263446287145761,0.14160238760615562,True
11.0,5.0,1.0,0.9,0.22984291156447667,0.7000000000000001,1.2187283084634588e-09,-1.0141635610456299,-1.0305098302078874,-1.0263311166596616,-1.010342783107845,0.03270283409625563,-0.02633111665966159,0.1416356104562999,True
8.0,8.0,1.0,0.9,0.22989459761807154,0.7000000000000001,1.2187283084634588e-09,-1.0141668029514272,-1.0305208115635174,-1.0263596765249918,-1.0103725385582234,0.03271982659080663,-0.026359676524991826,0.1416680295142736,True
9.0,6.0,1.0,0.9,0.22995000021819353,0.7000000000000001,1.2187283084634588e-09,-1.0141702032254103,-1.030526712865282,-1.026351144092484,-1.0103484114481456,0.03272313596345566,-0.026351144092483958,0.14170203225410405,True
10.0,5.0,1.0,0.9,0.2300227556871834,0.7000000000000001,1.2187283084634588e-09,-1.0141746126897853,-1.0305326414588485,-1.026339251427917,-1.0103283727100134,0.03272463735398401,-0.026339251427917043,0.1417461268978537,True
8.0,7.0,1.0,0.9,0.23002467247300104,0.7000000000000001,1.2187283084634588e-09,-1.0141748161261332,-1.030538240781809,-1.0263677407514895,-1.0103591655452633,0.03273739104628248,-0.02636774075148951,0.1417481612613336,True
12.0,4.0,1.0,0.9,0.23013510900758238,0.7000000000000001,1.2187283084634588e-09,-1.014181126938706,-1.030536995311592,-1.02631741088128,-1.0103065853811282,0.03272032479941345,-0.026317410881280034,0.141811269387061,True
