case,label,sigma8_today,S8_today,delta_S8_vs_LCDM_percent,D_today_raw_ratio_vs_LCDM,Omega_m0,mu_eff_z0,mu_eff_z1,mu_eff_z2,f_z0,f_z0p5,f_z1,fsigma8_z0,fsigma8_z0p5,fsigma8_z1,gamma_z0,gamma_z0p5,gamma_z1,diagnostic_verdict,input_file,z_init,sigma8_anchor_LCDM,case_C_mu_amp,case_C_mu_z_damp
A,A: LCDM baseline,0.811,0.8108783773644092,0.0,1.0,0.2999100269919025,1.0,1.0,1.0,0.5126901010078925,0.7494385172888778,0.8687734320841018,0.41579167191740085,0.46967232932100333,0.43134668639275414,0.554761122654404,0.5494907184294152,0.5476356091771127,FAIL_DIRECTION: background drag does not lower S8 in this toy setup.,/mnt/data/flux_de_best_model.csv,100.0,0.811,0.03,2.0
B,B: Flux-DE drag,0.8153870633939847,0.8152647828469111,0.5409449314407677,1.0054094493144077,0.2999100269919025,1.0,1.0,1.0,0.5130598296308733,0.7534863169339868,0.8737565298294863,0.41834234782813584,0.4743268069176452,0.4351812513452247,0.554162508848536,0.5486921744731411,0.5468080724180082,FAIL_DIRECTION: background drag does not lower S8 in this toy setup.,/mnt/data/flux_de_best_model.csv,100.0,0.811,0.03,2.0
C,C: Full Flux ledger,0.8189760497079095,0.8188532309339869,0.9834833178679947,1.00983483317868,0.2999100269919025,1.0007684931506848,1.0123183629368913,1.0076691537827374,0.5154172484393803,0.7578157428916148,0.8779971908530946,0.42211438207820384,0.4784809920048883,0.4380469129427442,0.5503558143818487,0.5375854910254927,0.5271906438473909,FAIL_DIRECTION: background drag does not lower S8 in this toy setup.,/mnt/data/flux_de_best_model.csv,100.0,0.811,0.03,2.0
