variable,pearson_r_with_mu_resid,N
logMstar,-0.40635234541485643,2500
potential_proxy_logM_over_Reff,-0.41896619135669977,2500
stellar_age_Gyr,-0.31767661349722853,2500
logD_reg_proxy,-0.42295731805944037,2500
G_sat_proxy,-0.4435005649696942,2500
logsSFR,0.34550873950787175,2500
metallicity,-0.3131440600350172,2500
