model,predictors,N,k_params,RMSE,R2,AIC,BIC,coef_intercept,coef_logMstar,coef_mass_high_10,coef_logD_reg,coef_G_sat,coef_G_absorb,coef_G_overflow,coef_logsSFR,coef_metallicity,coef_Reff_kpc,coef_stellar_age_Gyr,coef_sigma_v_km_s
M0_intercept_only,intercept_only,1698,1,0.17311900342534675,3.3306690738754696e-16,-5953.823431482511,-5948.38622511564,-0.000157857934893093,,,,,,,,,,,
M1_mass_only,logMstar,1698,2,0.17311548812879868,4.061091836637942e-05,-5951.892390222146,-5941.017977488404,-0.00015785793489309302,0.0011032302175868723,,,,,,,,,,
M2_mass_step_10,mass_high_10,1698,2,0.17307833366985015,0.000469792195512464,-5952.621326067494,-5941.746913333752,-0.000157857934893093,,0.0037523007679606166,,,,,,,,,
M3_logD_reg,logD_reg,1698,2,0.17311548812879865,4.061091836671249e-05,-5951.892390222146,-5941.017977488404,-0.00015785793489309302,,,0.0011032302175868751,,,,,,,,
M4_Gsat,G_sat,1698,2,0.1731179411595099,1.2272050517680988e-05,-5951.8442695521535,-5940.969856818411,-0.00015785793489309302,,,,0.0006064616044636713,,,,,,,
M5_capacity_state,"G_absorb,G_sat,G_overflow",1698,4,0.17300338853496797,0.001335223542995867,-5950.092156023014,-5928.343330555528,-0.000157857934893093,,,,0.005968062655891002,-0.00596806265589101,-0.012961882056529064,,,,,
M6_capacity_controls,"G_sat,G_overflow,logsSFR,metallicity",1698,5,0.173003388534968,0.001335223542995756,-5948.092156023014,-5920.9061241886575,-7.892896744652715e-05,,,,0.011936125311782045,,-0.01296188205652911,0.0,7.892896744652114e-05,,,
M7_kitchen_sink,"logMstar,Reff_kpc,stellar_age_Gyr,sigma_v_km_s,logsSFR,metallicity",1698,7,0.17311548812879865,4.061091836671249e-05,-5941.892390222146,-5903.831945654047,-7.892896744656353e-05,0.0011032302175868753,,,,,,0.0,7.892896744656343e-05,0.0,0.0,0.0
