well_regime,N,mean_logMstar,mean_Reff,mean_age,mean_sigma,mean_Ffill,mean_Gsat,mean_Goverflow,mean_mu_resid,std_mu_resid,mean_H0_proxy
filling/absorbing,758,8.821678654353562,5.0,4.0,150.0,0.3074013338052884,0.009648020256308515,0.0,-0.004817262643700616,0.18046899801057098,67.78186886638805
near-capacity/saturated,300,10.185334833333332,5.0,4.0,150.0,0.9750194506142346,0.449194790723444,0.032124808929700044,0.014484441606384024,0.1501332965266905,67.11091837262245
overflowing,640,10.89369671875,5.0,4.0,150.0,2.3613288327399102,0.9716984610451567,0.5012085401169907,-0.0015029533928729087,0.17430033804987824,67.66395277046524
