H0,theta_star,r_s_Mpc,D_M_Mpc,model
55.0,0.009963346014836023,143.51332850557762,14404.129726286494,lcdm
55.04173622704508,0.009964692794656223,143.51332850555423,14402.182933578873,lcdm
55.08347245409015,0.009966039179997041,143.51332850553084,14400.237237033765,lcdm
55.12520868113523,0.009967385171181299,143.51332850550742,14398.292635509613,lcdm
55.1669449081803,0.009968730768531305,143.51332850548397,14396.349127866739,lcdm
55.208681135225376,0.009970075972368864,143.51332850546055,14394.406712967319,lcdm
55.250417362270454,0.009971420783015293,143.51332850543707,14392.465389675348,lcdm
55.292153589315525,0.009972765200791402,143.51332850541363,14390.52515685669,lcdm
55.3338898163606,0.009974109226017498,143.51332850539012,14388.58601337903,lcdm
55.375626043405674,0.0099754528590134,143.5133285053666,14386.647958111895,lcdm
55.41736227045075,0.009976796100098434,143.51332850534308,14384.710989926629,lcdm
55.45909849749582,0.009978138949591424,143.51332850531952,14382.775107696409,lcdm
55.5008347245409,0.009979481407810709,143.51332850529596,14380.840310296224,lcdm
55.54257095158598,0.00998082347507413,143.51332850527234,14378.906596602885,lcdm
55.58430717863105,0.009982165151699047,143.51332850524875,14376.97396549501,lcdm
55.62604340567613,0.009983506438002335,143.51332850522513,14375.042415853006,lcdm
55.6677796327212,0.009984847334300367,143.51332850520149,14373.11194655911,lcdm
55.70951585976628,0.009986187840909037,143.51332850517784,14371.182556497344,lcdm
55.751252086811355,0.009987527958143763,143.5133285051542,14369.254244553516,lcdm
55.792988313856426,0.009988867686319469,143.5133285051305,14367.32700961523,lcdm
55.834724540901504,0.009990207025750602,143.51332850510676,14365.400850571868,lcdm
55.876460767946575,0.009991545976751136,143.51332850508302,14363.475766314594,lcdm
55.91819699499165,0.009992884539634551,143.51332850505926,14361.551755736355,lcdm
55.959933222036724,0.009994222714713865,143.51332850503553,14359.628817731857,lcdm
56.0016694490818,0.009995560502301602,143.5133285050117,14357.706951197584,lcdm
56.04340567612688,0.009996897902709835,143.51332850498795,14355.786155031767,lcdm
56.08514190317195,0.00999823491625013,143.5133285049641,14353.866428134423,lcdm
56.12687813021703,0.009999571543233617,143.5133285049403,14351.947769407288,lcdm
56.1686143572621,0.010000907783970928,143.51332850491644,14350.030177753875,lcdm
56.21035058430718,0.010002243638772232,143.51332850489257,14348.113652079437,lcdm
56.25208681135226,0.010003579107947237,143.5133285048687,14346.198191290961,lcdm
56.29382303839733,0.010004914191805176,143.5133285048448,14344.283794297175,lcdm
56.335559265442406,0.010006248890654816,143.51332850482083,14342.370460008537,lcdm
56.37729549248748,0.010007583204804453,143.51332850479693,14340.458187337264,lcdm
56.419031719532555,0.01000891713456194,143.513328504773,14338.546975197245,lcdm
56.46076794657763,0.010010250680234638,143.51332850474896,14336.636822504133,lcdm
56.502504173622704,0.010011583842129478,143.51332850472502,14334.727728175278,lcdm
56.54424040066778,0.010012916620552894,143.51332850470098,14332.81969112976,lcdm
