z,elapsed_years_since_zmax,sfrd_msun_yr_mpc3,rho_star_msun_mpc3,lum_density_lsun_mpc3,lum_density_w_mpc3,fusion_chain_rate_mpc3_s,proton_processing_rate_mpc3_s,T_sink_K,entropy_rate_J_K_mpc3_s,entropy_rate_kB_mpc3_s
20.0,-0.0,0.0008532522519633329,-0.0,-0.0,-0.0,-0.0,-0.0,57.235499999999995,-0.0,-0.0
19.996666111018502,42645.13619457839,0.0008536451943621212,26.568670248771515,8.856223416257171,3.390162323743245e+27,7.924992100201667e+38,3.169996840080667e+39,57.22641348558092,5.865386981695203e+25,4.248282497358274e+48
19.993332222037004,85307.2015448421,0.0008540383801497998,53.16012897637518,17.72004299212506,6.783232457385473e+27,1.5856781624325173e+39,6.342712649730069e+39,57.21732697116185,1.1737687214275313e+26,8.501572241949484e+48
19.98999833305551,127986.20546017087,0.0008544318095157988,79.77439935151223,26.591466450504075,1.017921335725296e+28,2.3795375483208447e+39,9.518150193283379e+39,57.208240456742786,1.7616909132326816e+26,1.2759875342919752e+49
19.986664444074012,170682.15735680537,0.0008548254826497248,106.4115045702081,35.470501523402696,1.3578107983158553e+28,3.174078059583979e+39,1.2696312238335915e+40,57.19915394232372,2.3503061181863426e+26,1.7023197917691916e+49
19.983330555092515,213395.06665758032,0.0008552193997413616,133.07146785567855,44.35715595189285,1.6979919298384584e+28,3.9693003889317906e+39,1.5877201555727162e+40,57.190067427904644,2.9396151820305616e+26,2.129154609195068e+49
19.979996666111017,256124.9427921121,0.000855613560980672,159.75431245847955,53.25143748615985,2.038465026970199e+28,4.765205229889663e+39,1.9060820919558652e+40,57.18098091348557,3.5296189516522844e+26,2.556492599967323e+49
19.976662777129523,298871.79519671376,0.0008560079665577957,186.46006165648691,62.15335388549564,2.3792303867367734e+28,5.561793276797888e+39,2.224717310719155e+40,57.17189439906651,4.120318275083825e+26,2.9843343783132606e+49
19.973328888148025,341635.633314583,0.000856402616663052,213.18873875504664,71.06291291834889,2.7202883065143954e+28,6.359065224816142e+39,2.543626089926457e+40,57.162807884647435,4.711714001507096e+26,3.4126805592928367e+49
19.969994999166527,384416.4665955349,0.0008567975114869376,239.94036708684078,79.98012236228026,3.061639084028088e+28,7.157021769919495e+39,2.862808707967798e+40,57.15372137022837,5.303806981251567e+26,3.8415317587971794e+49
19.96666111018503,427214.30449618987,0.0008571926512201293,266.7149700120379,88.90499000401263,3.4032830173536038e+28,7.955663608902893e+39,3.1822654435611573e+40,57.144634855809294,5.8965980657985106e+26,4.2708885935516634e+49
19.963327221203535,470029.1564798886,0.0008575880360534814,293.5125709182727,97.83752363942422,3.745220404917159e+28,8.754991439380548e+39,3.501996575752219e+40,57.13554834139023,6.490088107781459e+26,4.700751681116242e+49
19.959993332222037,512861.03201688017,0.000857983666178028,320.3331932207969,106.77773107359896,4.087451545497368e+28,9.555005959790446e+39,3.8220023839161783e+40,57.12646182697116,7.084277960990484e+26,5.131121639888548e+49
19.95665944324054,555709.9405840544,0.0008583795417849822,347.17686036234494,115.72562012078164,4.429976738223522e+28,1.0355707869390338e+40,4.1422831477561352e+40,57.117375312552085,7.679168480370135e+26,5.561999089102396e+49
19.95332555425904,598575.8916651306,0.0008587756630657365,374.04359581328487,124.68119860442829,4.772796282577515e+28,1.1157097868262232e+40,4.462839147304893e+40,57.10828879813302,8.274760522023697e+26,5.993384648830874e+49
19.949991665277548,641458.8947505713,0.0008591720302118633,400.9334230715981,133.64447435719936,5.115910478393592e+28,1.19591766573118e+40,4.78367066292472e+40,57.09920228371395,8.871054943213688e+26,6.425278939986692e+49
19.94665777629605,684358.959337772,0.0008595686434151147,427.84636566303084,142.61545522101028,5.459319625860274e+28,1.2761944938272897e+40,5.104777975309159e+40,57.09011576929488,9.468052602366125e+26,6.857682584325288e+49
19.943323887314552,727276.0949307922,0.0008599655028674242,454.78244714095945,151.59414904698647,5.803024025518642e+28,1.3565403413703532e+40,5.426161365481413e+40,57.08102925487581,1.0065754359068468e+27,7.290596204443321e+49
19.939989998333054,770210.3110405446,0.0008603626087609033,481.74169108654195,160.58056369551397,6.147023978264275e+28,1.43695527869904e+40,5.74782111479616e+40,57.071942740456734,1.066416107407392e+27,7.724020423781801e+49
19.93665610935156,813161.6171847093,0.0008607599612878454,508.72412110869766,169.57470703623255,6.4913197853469825e+28,1.517439376234827e+40,6.069757504939308e+40,57.062856226037674,1.12632736093019e+27,8.157955866626419e+49
19.933322220370062,856130.0228879228,0.0008611575606407246,535.7297608442597,178.57658694808654,6.835911748372753e+28,1.5979927044824523e+40,6.391970817929809e+40,57.0537697116186,1.186309282784235e+27,8.592403158110678e+49
19.929988331388564,899115.5376815099,0.0008615554070121951,562.7586339578393,187.58621131927976,7.180800169302029e+28,1.678615334029513e+40,6.714461336118052e+40,57.044683197199525,1.2463619593953678e+27,9.027362924214393e+49
