flux_power,H0_flux,theta_flux,r_s_flux_Mpc,D_M_flux_Mpc,H0_lcdm,delta_H0_vs_LCDM,distance_to_local_H0_target,loss
0.2,73.14090940980773,0.010413200000954862,143.5133265751458,13781.865954940464,69.61740729657123,3.5235021132365034,0.14090940980773325,9.117632052342853e-25
0.175,72.70441194041136,0.010413199994117765,143.51332657428804,13781.865963906985,69.61740729657123,3.0870046438401317,0.29558805958863843,3.4600676078416013e-23
0.15,72.26695078375435,0.010413200020464036,143.513326573316,13781.865928944359,69.61740729657123,2.6495434871831236,0.7330492162456466,4.1877679868040956e-22
0.25,74.01129549741245,0.010413199993911026,143.51332657656968,13781.865964399714,69.61740729657123,4.393888200841218,1.0112954974124477,3.7075593117163304e-23
0.125,71.82844699661516,0.010413200000237856,143.5133265722147,13781.86595560794,69.61740729657123,2.2110397000439264,1.1715530033848438,5.657576663933623e-26
0.1,71.38882363137922,0.01041320000078817,143.51332657096734,13781.86595475981,69.61740729657123,1.771416334807995,1.6111763686207752,6.212144888750999e-25
0.3,74.87865003321625,0.010413199987013436,143.51332657767674,13781.865973634984,69.61740729657123,5.261242736645016,1.8786500332162461,1.6865082410317975e-22
0.075,70.94799678035501,0.010413200001458286,143.51332656955498,13781.865953737284,69.61740729657123,1.3305894837837826,2.0520032196449876,2.1265998557537137e-24
0.05,70.50587955753689,0.010413200002068157,143.51332656795628,13781.865952776592,69.61740729657123,0.8884722609656563,2.494120442463114,4.277278111659615e-24
0.4,76.606193238121,0.010413199975883263,143.51332657920383,13781.865988512414,69.61740729657123,6.988785941549764,3.6061932381209942,5.816169738970143e-22
0.5,78.32698550551432,0.010413200027710557,143.51332658012214,13781.865920007198,69.61740729657123,8.709578208943086,5.326985505514315,7.678750139586751e-22
0.75,82.61715787930238,0.010413199999900771,143.51332658111295,13781.865956908587,69.61740729657123,12.999750582731153,9.617157879302383,9.846179621180471e-27
1.0,86.91599998631239,0.010413199999657598,143.51332658138523,13781.865957256576,69.61740729657123,17.298592689741156,13.915999986312386,1.17238755983301e-25
