,Bias
MAE,-0.9070337674834854
L36,-0.44224090061360044
Q,-0.37815110842276356
R_disk,-0.33368811000041493
D_spatial,-0.2527656330687156
Vflat,-0.1581282254512987
f_gas,0.16753906332780577
T,0.35570668223505075
Bias,1.0
