H0,omega_m,Omega_m,p0,p_high,theta_err_ppm,chi2_bao,sn_shape_max,best_Om_ref,score
71.0,0.145,0.2876413410037691,0.19,0.25,16.582693158098163,17.728723035909972,0.01434505753457671,0.27,18.25004936789515
71.0,0.145,0.2876413410037691,0.19,0.26,84.52845027606608,17.700016776676737,0.01440353275327766,0.27,18.397297638765426
71.0,0.145,0.2876413410037691,0.2,0.22,38.49956303972677,17.77303987514731,0.015840647804338914,0.27,18.437410591156326
71.0,0.145,0.2876413410037691,0.2,0.23,67.61391563982086,17.741874926945613,0.015898933997434028,0.27,18.48810622228624
71.0,0.145,0.2876413410037691,0.21000000000000002,0.2,35.321805774823275,17.813009583533162,0.016640833910607,0.26,18.53649371571404
71.0,0.145,0.2876413410037691,0.19,0.24000000000000002,119.4899450757549,17.758694322866813,0.014286571399900083,0.27,18.625905803133094
71.0,0.145,0.2876413410037691,0.2,0.21000000000000002,146.5669568742342,17.80558813161057,0.01578235070931555,0.27,18.965341437574494
71.0,0.145,0.2876413410037691,0.21000000000000002,0.21000000000000002,144.85054502528968,17.780501402158983,0.016312785332729618,0.26,18.970310825291364
71.0,0.145,0.2876413410037691,0.2,0.24000000000000002,171.83238227143542,17.71204855325417,0.015957209289439334,0.27,19.086789063948512
71.0,0.145,0.2876413410037691,0.18,0.26,207.2547748082302,17.769843332672604,0.012728273712731664,0.27,19.2487292539584
71.0,0.145,0.2876413410037691,0.19,0.23,224.2451856740832,17.789972609166792,0.014228074348430653,0.27,19.55321544077807
71.0,0.145,0.2876413410037691,0.21000000000000002,0.22,252.37473494707666,17.749410475931235,0.015987332843025115,0.26,19.98072267550559
71.0,0.145,0.2876413410037691,0.2,0.2,256.6440117358529,17.839566035533434,0.015724042711497077,0.27,20.10433355251271
71.0,0.145,0.2876413410037691,0.2,0.25,274.2077530918042,17.683517570905945,0.01601547368119327,0.27,20.204503360379828
71.0,0.145,0.2876413410037691,0.18,0.25,308.89649913934886,17.79999696099519,0.012669576443869346,0.27,20.58671855867646
69.0,0.15,0.31505986137366104,0.2,0.25,22.51350912234711,20.405241513611404,0.011249408101818403,0.29000000000000004,20.7342859225396
69.0,0.15,0.31505986137366104,0.2,0.26,66.41510782992295,20.39449447527522,0.010969343867920145,0.29000000000000004,20.80558490120842
71.0,0.145,0.2876413410037691,0.22,0.2,325.75947985825763,17.812230441856904,0.015158319906596773,0.26,21.03964806577179
71.0,0.145,0.2876413410037691,0.19,0.22,330.9021086378003,17.82260137292654,0.014169566379337084,0.27,21.061948038896205
69.0,0.15,0.31505986137366104,0.2,0.24000000000000002,113.01645102047179,20.4171462914968,0.011531670779689307,0.29000000000000004,21.068912823956218
69.0,0.15,0.31505986137366104,0.19,0.26,201.43655470416013,19.797657567667876,0.012322011253431242,0.29000000000000004,21.191654610269147
69.0,0.15,0.31505986137366104,0.21000000000000002,0.22,30.592493469412524,21.058413843960405,0.01074887366286248,0.29000000000000004,21.370657072927752
69.0,0.15,0.31505986137366104,0.21000000000000002,0.23,62.714843721352004,21.045270213480983,0.010464379900369636,0.29000000000000004,21.417357120803974
71.0,0.145,0.2876413410037691,0.21000000000000002,0.23,357.9517464660111,17.719690777411536,0.01566444679405521,0.26,21.53636433077269
69.0,0.15,0.31505986137366104,0.21000000000000002,0.21000000000000002,125.61299270729472,21.072817280363992,0.011035629005242242,0.29000000000000004,21.771745647639424
71.0,0.145,0.2876413410037691,0.2,0.26,374.79183075030954,17.656240294180016,0.016073727173541386,0.27,21.813874967232838
69.0,0.15,0.31505986137366104,0.2,0.23,205.13926851358585,20.43024497422381,0.011816157688798512,0.29000000000000004,21.831351917697422
69.0,0.15,0.31505986137366104,0.21000000000000002,0.24000000000000002,154.35795035095327,21.033347944548602,0.010182121459408222,0.29000000000000004,21.88819635899764
69.0,0.15,0.31505986137366104,0.22,0.2,45.48889732266024,21.721559328801483,0.00997370802949149,0.29000000000000004,22.02197745293613
69.0,0.15,0.31505986137366104,0.19,0.25,290.8379658936434,19.809577598371924,0.012604290860736,0.29000000000000004,22.32141602875581
69.0,0.15,0.31505986137366104,0.22,0.21000000000000002,141.78126346606322,21.707047238532684,0.009686921555918104,0.29000000000000004,22.444186528359793
71.0,0.145,0.2876413410037691,0.18,0.24000000000000002,412.3391706966549,17.831427060868354,0.012610868242809659,0.27,22.479601847732244
69.0,0.15,0.31505986137366104,0.21000000000000002,0.2,222.3917280662523,21.08852029070052,0.011324672490857779,0.29000000000000004,22.645592826070846
69.0,0.15,0.31505986137366104,0.21000000000000002,0.25,244.38709368240362,21.022609871775717,0.009902072384441851,0.29000000000000004,22.76086375450583
69.0,0.15,0.31505986137366104,0.2,0.22,298.92757783537246,20.444574970246506,0.012102894917930485,0.29000000000000004,23.044717553495744
71.0,0.145,0.2876413410037691,0.22,0.21000000000000002,434.74530107504063,17.78117335490802,0.014832804639588915,0.26,23.056290508769237
71.0,0.145,0.2876413410037691,0.19,0.21000000000000002,439.51466190175995,17.8566256521827,0.014111047491802253,0.27,23.183758256137903
69.0,0.15,0.31505986137366104,0.22,0.22,236.31631605085835,21.69382436866487,0.009692504913004996,0.29000000000000004,23.324821028182665
71.0,0.145,0.2876413410037691,0.21000000000000002,0.24000000000000002,461.63699581597007,17.691297875031594,0.01534409786312807,0.26,23.60761912076457
69.0,0.15,0.31505986137366104,0.19,0.24000000000000002,381.8179775314588,19.822664943195896,0.012888783732009301,0.29000000000000004,23.882591007577503
69.0,0.15,0.31505986137366104,0.21000000000000002,0.26,332.84616577331946,21.013020065553043,0.009624207020664244,0.29000000000000004,24.01424771924455
71.0,0.145,0.2876413410037691,0.17,0.26,500.5652231988277,17.86591205489129,0.01107984065543377,0.27,24.4369577941681
69.0,0.15,0.31505986137366104,0.22,0.23,329.1444412155606,21.68185120793053,0.009722357251497726,0.29000000000000004,24.6265633638225
69.0,0.15,0.31505986137366104,0.2,0.21000000000000002,394.43325624721473,20.460174974628618,0.012391908859555656,0.29000000000000004,24.73351332843198
71.0,0.145,0.2876413410037691,0.18,0.23,517.6347474993295,17.864175891824104,0.012552149108771005,0.27,24.956710305413523
