regime,k_h_mpc,G_env,A_D_times_G_env,A_eff_if_Gbound_1
CMB low,0.001,1.395881947248616e-16,1.6750583366983394e-15,1.0000000000000018
CMB high,0.01,1.3958819472466678e-12,1.6750583366960013e-11,1.0000000000167506
RSD,0.1,1.3958819277637531e-08,1.6750583133165036e-07,1.0000001675058314
transition,9.2,0.5,6.0,7.0
galactic seed,20.0,0.9571442857490711,11.485731428988853,12.485731428988853
compact seed,50.0,0.9988550836000779,11.986261003200935,12.986261003200935
