V_ref,n,Point_MAE,Galaxy_MAE
130.0,1.75,19.901833582701517,19.12230919003406
130.0,2.0,19.924003558722724,19.1422351041006
130.0,2.25,19.949235632341704,19.16446233001817
130.0,2.5,19.975648804873213,19.18773643593912
130.0,2.75,20.002823901164064,19.211650382580473
130.0,3.0,20.03062672985882,19.235952539655678
130.0,3.25,20.05817828538921,19.25987460275082
130.0,3.5,20.084934702097833,19.283054241034524
130.0,3.75,20.11094280090875,19.305420780444265
130.0,4.0,20.13601784559333,19.327044313899787
130.0,4.25,20.16006169876976,19.34780299011559
130.0,4.5,20.183071083494802,19.367673348100375
130.0,4.75,20.205056462331733,19.386666097461166
130.0,5.0,20.225908975722763,19.404709641881595
130.0,5.25,20.24577556311104,19.421863410765013
130.0,5.5,20.26475800835086,19.438339506450397
130.0,5.75,20.28297241256284,19.45424330407084
130.0,6.0,20.300353942192594,19.469485387825987
135.0,1.0,19.894518677976862,19.10419892142298
135.0,1.25,19.8876742138817,19.108973017190298
135.0,1.5,19.898008065788122,19.122560586016306
135.0,1.75,19.916886000532816,19.140933972091744
135.0,2.0,19.940327551106016,19.162573809319625
135.0,2.25,19.966939594490697,19.186808920775906
135.0,2.5,19.99483069418549,19.211978292931143
135.0,2.75,20.023667164187355,19.23785502425313
135.0,3.0,20.052749686103052,19.263846719651916
135.0,3.25,20.08106803889786,19.289100256193176
135.0,3.5,20.108900195647205,19.313708060196486
135.0,3.75,20.13586050232971,19.337512233436133
135.0,4.0,20.161789721995607,19.360320228294757
135.0,4.25,20.186805343544318,19.382199402350103
135.0,4.5,20.210724546223844,19.403104938476304
135.0,4.75,20.233468471570944,19.42300883822214
135.0,5.0,20.255186621412168,19.442055749139964
135.0,5.25,20.27580838931333,19.46014989528091
135.0,5.5,20.29539645692988,19.47735761927162
135.0,5.75,20.31411241235723,19.493766509005827
135.0,6.0,20.33207522550145,19.509497361890812
140.0,1.0,19.905424452702004,19.11616056524953
140.0,1.25,19.900139108979552,19.123339893182845
140.0,1.5,19.91178152351537,19.139001622199544
140.0,1.75,19.93173899681413,19.159434245362984
140.0,2.0,19.956716314378212,19.183191167086413
140.0,2.25,19.984387187318006,19.208865388964988
140.0,2.5,20.01329796102613,19.235503540443187
140.0,2.75,20.043571534726407,19.263150551559555
140.0,3.0,20.073707844489793,19.290596722588177
140.0,3.25,20.10311746568391,19.317362108288737
140.0,3.5,20.131567743482954,19.3432045855223
140.0,3.75,20.15916541972959,19.36805598554862
