beta,z_p,p0,p_high,theta_err_ppm,sn_shape_max,best_Om_ref,score
0.6,0.5,0.17,0.21,92.0032075602952,0.014763422674981541,0.28,2.2134448516071226
0.6,0.5,0.17,0.22,257.1214425573056,0.014679199283420985,0.28,2.419234660914871
0.6,0.5,0.17,0.23,419.1933855573899,0.01459499528957764,0.28,2.8330312530082007
0.6,0.5,0.185,0.21,639.2497776002223,0.011733227548205605,0.28,3.0112473996274436
0.6,0.5,0.185,0.22,803.2047520090796,0.011656225211702065,0.28,3.9392273564590568
0.6,0.5,0.185,0.23,964.124495866797,0.011586745130450993,0.28,5.06067080130192
0.6,0.5,0.2,0.21,1182.395158802515,0.008835017733673567,0.28,6.372808629781762
0.6,0.5,0.2,0.22,1345.1966170643502,0.008765874261946749,0.28,8.006621270008093
