p,H0,theta_star,theta_err,theta_abs_err,theta_err_ppm,r_s_Mpc,D_M_Mpc,Omega_m0,Omega_b0,Omega_r0,Omega_flux0,q0,z_acc,accepted_theta,H0_distance_to_73,score
0.19,73.0,0.010413327865366416,1.2786536641648527e-07,1.2786536641648527e-07,12.27916168099002,143.51333566785001,13781.697601701335,0.26834302871082755,0.041977857008819675,7.843873146931883e-05,0.7315785325577032,-0.6682757049129009,0.7720901905311249,True,0.0,0.16483940210081172
0.1925,73.0,0.010412196518984505,-1.0034810154942175e-06,1.0034810154942175e-06,-96.36624817483747,143.513335667945,13783.195064199745,0.26834302871082755,0.041977857008819675,7.843873146931883e-05,0.7315785325577032,-0.6692132391913344,0.7721199694850693,True,0.0,0.16649349109824224
0.1875,73.0,0.010414462576492844,1.262576492844919e-06,1.262576492844919e-06,121.24769454585709,143.51333566775364,13780.196012388278,0.26834302871082755,0.041977857008819675,7.843873146931883e-05,0.7315785325577032,-0.6673381650975632,0.7720575005067392,True,0.0,0.16728797496063652
0.195,73.0,0.010411068520290402,-2.1314797095974003e-06,2.1314797095974003e-06,-204.6901730109285,143.51333566803865,13784.688419670065,0.26834302871082755,0.041977857008819675,7.843873146931883e-05,0.7315785325577032,-0.6701507679330856,0.7721468601246616,True,0.0,0.17221386261857546
0.185,73.0,0.010415600669542323,2.4006695423239854e-06,2.4006695423239854e-06,230.54100010793854,143.5133356676559,13778.690276339299,0.26834302871082755,0.041977857008819675,7.843873146931883e-05,0.7315785325577032,-0.6664006197455432,0.7720218764932354,True,0.0,0.17387594608932613
0.1975,73.0,0.010409943852348147,-3.256147651852642e-06,3.256147651852642e-06,-312.6942392206663,143.51333566813096,13786.177687765243,0.26834302871082755,0.041977857008819675,7.843873146931883e-05,0.7315785325577032,-0.6710882911381546,0.772170885043391,True,0.0,0.18196449036760443
0.1825,73.0,0.010416742161816308,3.5421618163090918e-06,3.5421618163090918e-06,340.16073985989823,143.51333566755673,13777.180373497229,0.26834302871082755,0.041977857008819675,7.843873146931883e-05,0.7315785325577032,-0.665463068856619,0.7719832954075335,True,0.0,0.18464041306150925
0.2,73.0,0.010408822498341496,-4.377501658502786e-06,4.377501658502786e-06,-420.3800617008015,143.513335668222,13787.662888005716,0.26834302871082755,0.041977857008819675,7.843873146931883e-05,0.7315785325577032,-0.6720258088063193,0.7721920666738812,True,0.0,0.1957096971097765
0.18,73.0,0.01041788707074026,4.687070740260618e-06,4.687070740260618e-06,450.1085872028405,143.5133356674561,13775.666283667875,0.26834302871082755,0.041977857008819675,7.843873146931883e-05,0.7315785325577032,-0.6645255124307905,0.7719417340029346,True,0.0,0.19961883876003647
0.2025,73.0,0.010407704441572845,-5.49555842715467e-06,5.49555842715467e-06,-527.7492439552367,143.5133356683117,13789.144039780545,0.26834302871082755,0.041977857008819675,7.843873146931883e-05,0.7315785325577032,-0.6729633209378019,0.7722104272875298,True,0.0,0.21341415073347628
