Galaxy,MAE,Bias,D_spatial,f_gas,R_disk,Vflat,Q,T,L36
NGC3198,30.696112241190814,-25.85042694546419,0.8182165382619325,0.07022451264088057,3.14,1602.62,3.9,5,38.279
NGC3521,17.71860024828557,-17.586238873954205,0.9059674967138497,0.01285724465459801,2.4,2112.66,15.9,4,84.836
NGC3726,22.033947195602554,-18.543968478521506,0.8447710926903036,0.023928822544967802,3.4,1789.91,6.2,5,70.234
NGC3741,15.752339414633484,-15.622445141238265,0.7685967148903824,0.6335654085745694,0.2,143.49,2.1,10,0.028
NGC3769,26.174435219580385,-23.766165325714923,0.7637043014128105,0.07298932381869043,3.38,160.26,8.4,3,18.679
NGC3877,19.49182384650568,-9.191384601428464,0.8866319207952497,0.0054090336420617195,2.53,3410.59,5.1,5,72.535
NGC3893,37.0563652176336,-35.35975433968456,0.8815547075497618,0.02567999545311782,2.38,2055.09,8.9,5,58.525
NGC3917,31.72991889712135,-28.582390308132904,0.8019419882039571,0.022351938347731158,2.63,1226.96,4.1,6,21.966
NGC3949,13.469405478099139,-13.221768492893982,0.7973483297845125,0.023013377122482713,3.59,185.71,7.1,4,38.067
NGC3953,31.489180473443255,-31.489180473443255,0.841622493472645,0.005302985804471743,4.89,1999.08,6.1,4,141.301
NGC3972,28.297846050809774,-26.353360514553383,0.7987038818322877,0.022003657146221253,2.18,1587.93,2.9,4,14.353
NGC3992,73.03027489484334,-73.03027489484334,0.8731211119410185,0.019085303139909967,4.96,3257.09,5.2,4,226.932
NGC4010,19.61431213928551,-16.358525497118567,0.7793551395325682,0.04197586668503256,2.81,2611.14,4.7,7,17.193
NGC4013,36.32670121778453,-36.32670121778453,0.8467649846957739,0.009879696640178086,3.53,10205.4,7.1,3,79.094
NGC4051,6.46554307891819,-3.2314597370734055,0.822231934822176,0.007474074026381636,4.65,1320.78,5.5,4,95.268
NGC4068,5.946192704507058,0.08725879514227852,0.7165853774979893,0.14790369867564016,0.59,261.11,0.0,10,0.236
NGC4085,15.181174485524583,1.5462385391553315,0.8628540688318063,0.016249454214074154,1.65,5021.46,4.8,5,21.724
NGC4088,14.191722318893717,4.247940391618132,0.913053363439573,0.019987519241534687,2.58,3988.69,6.9,4,107.286
NGC4100,44.128245383024314,-44.128245383024314,0.8961877506317878,0.013702156982269356,2.15,8970.78,5.0,4,59.394
NGC4138,33.83805435604976,-33.636706755707756,0.9256507638479788,0.008863583040272032,1.51,3952.12,5.9,0,44.111
NGC4157,27.168715267243332,-22.01687161976744,0.9275651790303198,0.020296394011745836,2.32,23813.87,7.2,3,105.62
NGC4183,28.802565911651744,-28.802565911651744,0.7543581757712061,0.07923099221143942,2.79,1098.58,5.4,6,10.838
NGC4214,31.329096988488352,-31.329096988488352,0.8285353012997763,0.10177000903740606,0.51,1308.67,5.8,10,1.141
NGC4217,36.038322652549425,16.336896426854494,0.8770549803517261,0.007926123521135468,2.94,4373.51,7.2,3,85.299
NGC4389,29.911782695163193,29.911782695163193,0.791521128572133,0.006677448774354172,2.79,322.72,0.0,4,21.328
NGC4559,18.903238920459298,-17.679742862953127,0.8266178364414057,0.07387784937775317,2.1,1602.62,5.1,6,19.377
NGC5005,20.517614425880588,-9.738282177881576,0.771580579495455,0.00190148043834128,9.45,96.57,20.7,4,178.72
NGC5033,52.26385456279259,-45.142045327801014,0.8195808162733863,0.02651130312441342,5.16,614.94,3.6,5,110.509
NGC5055,24.978468374667823,-14.000425046683358,0.907497188455279,0.019982382471905355,3.2,3348.34,4.9,4,152.922
NGC5371,15.949407153675361,-15.949407153675361,0.8445383984383777,0.008660940158235413,7.44,1395.82,3.9,4,340.393
NGC5585,16.95274975952243,-13.25687218726006,0.751766022015195,0.13203200067951013,1.53,297.05,2.4,7,2.943
NGC5907,54.439256765006455,-54.439256765006455,0.8460995625420639,0.030895606036206967,5.34,8646.29,2.9,5,175.425
NGC5985,110.22140392305901,-110.22140392305901,0.8202971665682701,0.01455019972723085,7.01,1461.61,8.6,3,208.728
NGC6015,41.424305064327626,-40.92643234847942,0.846300468580391,0.046074973655648305,2.3,1926.77,7.0,6,32.129
NGC6195,12.363481564344353,-4.019374295687095,0.7726802914412542,0.014021027605822875,13.94,174.11,9.3,3,391.076
NGC6503,33.475633767822565,-33.475633767822565,0.793650293217885,0.034856664380477916,2.16,398.87,2.4,6,12.845
