H0,theta_star,r_s_Mpc,D_M_Mpc,model,flux_power
55.0,0.009963834191375505,143.51332657337136,14403.423804221233,lcdm,
55.04504504504504,0.009965286670741704,143.51332657334612,14401.324449070224,lcdm,
55.090090090090094,0.0099667386938171,143.51332657332088,14399.226365024484,lcdm,
55.13513513513514,0.009968190260995179,143.51332657329561,14397.129550672109,lcdm,
55.18018018018018,0.009969641372668788,143.51332657327032,14395.03400460362,lcdm,
55.22522522522522,0.009971092029230163,143.51332657324502,14392.939725411927,lcdm,
55.270270270270274,0.00997254223107091,143.51332657321967,14390.846711692328,lcdm,
55.31531531531532,0.009973991978582019,143.51332657319432,14388.75496204252,lcdm,
55.36036036036036,0.009975441272153865,143.51332657316897,14386.66447506257,lcdm,
55.4054054054054,0.009976890112176196,143.5133265731436,14384.575249354924,lcdm,
55.450450450450454,0.009978338499038153,143.51332657311812,14382.487283524393,lcdm,
55.4954954954955,0.009979786433128272,143.51332657309274,14380.400576178155,lcdm,
55.54054054054054,0.009981233914834454,143.51332657306727,14378.315125925745,lcdm,
55.585585585585584,0.009982680944544022,143.51332657304178,14376.230931379028,lcdm,
55.630630630630634,0.009984127522643663,143.5133265730163,14374.147991152247,lcdm,
55.67567567567568,0.009985573649519472,143.5133265729908,14372.06630386197,lcdm,
55.72072072072072,0.009987019325556934,143.5133265729652,14369.985868127083,lcdm,
55.765765765765764,0.00998846455114094,143.5133265729397,14367.906682568822,lcdm,
55.810810810810814,0.009989909326655761,143.5133265729141,14365.828745810737,lcdm,
55.85585585585586,0.00999135365248509,143.5133265728885,14363.752056478681,lcdm,
55.9009009009009,0.009992797529012014,143.5133265728629,14361.67661320083,lcdm,
55.945945945945944,0.009994240956619002,143.5133265728372,14359.60241460768,lcdm,
55.990990990990994,0.00999568393568797,143.5133265728116,14357.529459331994,lcdm,
56.03603603603604,0.0099971264666002,143.51332657278593,14355.45774600885,lcdm,
56.08108108108108,0.009998568549736405,143.5133265727602,14353.3872732756,lcdm,
56.126126126126124,0.010000010185476704,143.51332657273448,14351.318039771892,lcdm,
56.171171171171174,0.010001451374200625,143.51332657270876,14349.250044139639,lcdm,
56.21621621621622,0.010002892116287103,143.51332657268298,14347.183285023031,lcdm,
56.26126126126126,0.010004332412114495,143.5133265726572,14345.11776106853,lcdm,
56.306306306306304,0.010005772262060578,143.5133265726314,14343.053470924833,lcdm,
56.351351351351354,0.010007211666502534,143.51332657260556,14340.990413242922,lcdm,
56.3963963963964,0.010008650625816969,143.51332657257973,14338.928586676016,lcdm,
56.44144144144144,0.010010089140379912,143.5133265725539,14336.867989879573,lcdm,
56.486486486486484,0.010011527210566815,143.513326572528,14334.808621511283,lcdm,
56.531531531531535,0.010012964836752552,143.51332657250205,14332.75048023108,lcdm,
56.57657657657658,0.010014402019311416,143.51332657247607,14330.693564701127,lcdm,
56.62162162162162,0.010015838758617135,143.51332657245015,14328.637873585809,lcdm,
56.666666666666664,0.010017275055042863,143.5133265724242,14326.583405551713,lcdm,
56.711711711711715,0.010018710908961177,143.5133265723982,14324.53015926765,lcdm,
56.75675675675676,0.010020146320744093,143.51332657237222,14322.478133404638,lcdm,
56.8018018018018,0.010021581290763054,143.51332657234616,14320.427326635885,lcdm,
56.846846846846844,0.010023015819388944,143.51332657232012,14318.3777376368,lcdm,
56.891891891891895,0.010024449906992071,143.51332657229406,14316.329365084988,lcdm,
56.93693693693694,0.010025883553942188,143.51332657226794,14314.282207660226,lcdm,
56.98198198198198,0.01002731676060849,143.51332657224188,14312.23626404448,lcdm,
57.027027027027025,0.010028749527359597,143.5133265722157,14310.191532921888,lcdm,
57.072072072072075,0.01003018185456359,143.51332657218958,14308.148012978756,lcdm,
57.11711711711712,0.010031613742587969,143.51332657216338,14306.105702903551,lcdm,
57.16216216216216,0.010033045191799705,143.5133265721372,14304.064601386899,lcdm,
57.207207207207205,0.010034476202565189,143.51332657211094,14302.024707121587,lcdm,
57.252252252252255,0.010035906775250276,143.5133265720847,14299.986018802547,lcdm,
57.2972972972973,0.010037336910220263,143.51332657205845,14297.948535126847,lcdm,
57.34234234234234,0.0100387666078399,143.5133265720322,14295.912254793702,lcdm,
57.387387387387385,0.010040195868473371,143.51332657200584,14293.877176504455,lcdm,
57.432432432432435,0.010041624692484345,143.51332657197955,14291.843298962578,lcdm,
57.47747747747748,0.010043053080235913,143.5133265719532,14289.810620873672,lcdm,
57.52252252252252,0.010044481032090645,143.51332657192685,14287.77914094544,lcdm,
57.567567567567565,0.010045908548410547,143.51332657190048,14285.748857887722,lcdm,
57.612612612612615,0.0100473356295571,143.51332657187405,14283.719770412437,lcdm,
57.65765765765766,0.010048762275891238,143.5133265718476,14281.69187723363,lcdm,
57.7027027027027,0.010050188487773348,143.5133265718212,14279.665177067447,lcdm,
57.747747747747745,0.010051614265563294,143.51332657179475,14277.639668632095,lcdm,
57.792792792792795,0.010053039609620387,143.51332657176823,14275.615350647906,lcdm,
57.83783783783784,0.01005446452030342,143.51332657174171,14273.592221837273,lcdm,
57.88288288288288,0.010055888997970637,143.5133265717152,14271.570280924678,lcdm,
57.927927927927925,0.010057313042979764,143.51332657168865,14269.549526636665,lcdm,
57.972972972972975,0.010058736655687978,143.5133265716621,14267.529957701865,lcdm,
58.01801801801802,0.01006015983645194,143.51332657163547,14265.51157285095,lcdm,
58.06306306306306,0.010061582585627777,143.5133265716089,14263.494370816677,lcdm,
58.108108108108105,0.01006300490357109,143.51332657158227,14261.47835033383,lcdm,
58.153153153153156,0.010064426790636953,143.5133265715556,14259.46351013926,lcdm,
58.1981981981982,0.010065848247179918,143.51332657152898,14257.449848971859,lcdm,
58.24324324324324,0.010067269273554004,143.51332657150223,14255.437365572556,lcdm,
58.288288288288285,0.010068689870112724,143.5133265714755,14253.426058684316,lcdm,
58.333333333333336,0.010070110037209055,143.51332657144877,14251.415927052141,lcdm,
58.37837837837838,0.010071529775195473,143.51332657142203,14249.40696942304,lcdm,
58.42342342342342,0.010072949084423905,143.51332657139525,14247.399184546073,lcdm,
58.468468468468465,0.010074367965245794,143.51332657136848,14245.392571172286,lcdm,
58.513513513513516,0.010075786418012048,143.51332657134162,14243.387128054745,lcdm,
58.55855855855856,0.010077204443073065,143.5133265713148,14241.38285394854,lcdm,
58.6036036036036,0.010078622040778732,143.51332657128796,14239.379747610747,lcdm,
58.648648648648646,0.010080039211478415,143.51332657126105,14237.37780780044,lcdm,
58.693693693693696,0.010081455955520987,143.5133265712342,14235.377033278695,lcdm,
58.73873873873874,0.010082872273254797,143.51332657120724,14233.377422808559,lcdm,
58.78378378378378,0.01008428816502769,143.51332657118036,14231.37897515509,lcdm,
58.828828828828826,0.010085703631186995,143.51332657115336,14229.381689085301,lcdm,
58.873873873873876,0.010087118672079554,143.51332657112636,14227.38556336819,lcdm,
58.91891891891892,0.010088533288051694,143.51332657109933,14225.390596774721,lcdm,
58.96396396396396,0.010089947479449236,143.51332657107233,14223.396788077838,lcdm,
59.009009009009006,0.010091361246617504,143.5133265710453,14221.40413605242,lcdm,
59.054054054054056,0.010092774589901321,143.51332657101827,14219.41263947533,lcdm,
59.0990990990991,0.010094187509644996,143.51332657099113,14217.422297125366,lcdm,
59.14414414414414,0.01009560000619236,143.513326570964,14215.433107783283,lcdm,
59.189189189189186,0.010097012079886747,143.5133265709369,14213.445070231768,lcdm,
59.234234234234236,0.010098423731070979,143.51332657090978,14211.45818325546,lcdm,
59.27927927927928,0.010099834960087383,143.51332657088258,14209.472445640924,lcdm,
59.32432432432432,0.010101245767277807,143.51332657085538,14207.487856176664,lcdm,
59.369369369369366,0.010102656152983603,143.51332657082818,14205.504413653096,lcdm,
59.414414414414416,0.010104066117545617,143.51332657080096,14203.522116862576,lcdm,
59.45945945945946,0.010105475661304226,143.51332657077373,14201.540964599357,lcdm,
59.5045045045045,0.0101068847845993,143.51332657074644,14199.560955659614,lcdm,
59.54954954954955,0.010108293487770233,143.51332657071916,14197.582088841433,lcdm,
59.5945945945946,0.010109701771155923,143.51332657069185,14195.604362944807,lcdm,
