z,t_gyr_since_zmax,sfrd_msun_yr_mpc3,rho_star_msun_mpc3,Omega_Lambda,q,minus_q,S_CBH_density_kB_mpc3,rho_bh_msun_mpc3,n_bh_mpc3,mean_bh_mass_msun,entropy_weighted_bh_mass_msun,dS_CBH_dt_kB_mpc3_Gyr,Omega_flux_4term_fit
8.0,-0.0,0.009941520347154812,-0.0,0.0029741229593608894,0.49553881556095863,-0.49553881556095863,1.3960610407541815e+88,2500.30176009027,0.00011844003726145073,21110275.021030035,83804685.55128646,7.003867092831151e+86,0.0032468977668136676
7.997332444148049,0.0002834343859005538,0.009950041425575267,2057.853023483541,0.002976761197313136,0.49553485820403026,-0.49553485820403026,1.3960808921218654e+88,2500.3367829650015,0.00011844167162097788,21110279.420627095,83804703.32719123,7.013798612466705e+86,0.0032501088773495114
7.994664888296099,0.000567078557868083,0.00995857228931322,4118.994572310855,0.0029794025519050624,0.4955308961721424,-0.4955308961721424,1.3961008145438902e+88,2500.3719309000635,0.00011844331180245228,21110283.83831712,83804721.17619798,7.03369644199507e+86,0.003253362562580236
7.991997332444148,0.0008509327331295037,0.009967112952391182,6183.430866849279,0.0029820470277319754,0.49552692945840204,-0.49552692945840204,1.3961208082747664e+88,2500.4072043421306,0.00011844495782660733,21110288.274174575,83804739.09860747,7.053649241465774e+86,0.0032566204441330376
7.989329776592197,0.0011349971292003696,0.009975663428855525,8251.168141041719,0.0029846946293972947,0.495522958055904,-0.495522958055904,1.396140873569892e+88,2500.4426037394473,0.0001184466097142501,21110292.72827404,83804757.09472106,7.073657159237431e+86,0.003259882528856579
7.9866622207402465,0.0014192719638857188,0.00998422373277662,10322.21264244293,0.002987345361512574,0.49551898195773114,-0.49551898195773114,1.3961610106856141e+88,2500.4781295418907,0.00011844826748626177,21110297.200690664,83804775.16484234,7.093720344790391e+86,0.0032631488236157503
7.9839946648882965,0.0017037574552803548,0.009992793878248848,12396.570632251787,0.0029899992286975163,0.49551500115695374,-0.49551500115695374,1.396181219879179e+88,2500.513782200929,0.00011844993116359795,21110301.691499736,83804793.3092756,7.113838942104881e+86,0.00326641933526602
7.981327109036346,0.0019884538217696964,0.010001373879390646,14474.248385347775,0.002992656235579992,0.49551101564663,-0.49551101564663,1.3962015014087554e+88,2500.5495621696396,0.00011845160076728861,21110306.200776875,83804811.52832624,7.134013100480324e+86,0.0032696940706953685
7.978659553184395,0.002273361282029681,0.010009963750344563,16555.252190320665,0.0029953163867960544,0.4955070254198059,-0.4955070254198059,1.3962218555334452e+88,2500.585469902729,0.00011845327631843882,21110310.72859806,83804829.82230131,7.1542429671536e+86,0.0032729730367957333
7.975991997332444,0.0025584800550276167,0.010018563505277292,18639.588349507194,0.002997979686989953,0.49550303046951505,-0.49550303046951505,1.3962422825132665e+88,2500.6215058565144,0.00011845495783822859,21110315.27503948,83804848.19150871,7.174528692003094e+86,0.0032762562404812412
7.973324441480494,0.0028438103600224645,0.010027173158379737,20727.26317902369,0.0030006461408141555,0.49549903078877877,-0.49549903078877877,1.396262782609189e+88,2500.657670488961,0.00011845664534791331,21110319.840177808,83804866.63625814,7.194870424472972e+86,0.003279543688676337
7.970656885628543,0.0031293524165656957,0.010035792723867043,22818.283008802948,0.0030033157529293633,0.495495026370606,-0.495495026370606,1.3962833560831015e+88,2500.693964259655,0.00011845833886882418,21110324.424089883,83804885.15686002,7.215268311981036e+86,0.0032828353883096284
7.967989329776592,0.0034151064445011948,0.01004442221597866,24912.65418262427,0.00300598852800453,0.4954910172079932,-0.4954910172079932,1.3963040031978372e+88,2500.73038762983,0.00011846003842236817,21110329.026852913,83804903.75362638,7.235722506034e+86,0.003286131346337608
7.965321773924641,0.003701072663966117,0.01005306164897838,27010.383058150524,0.003008664470716876,0.4954870032939247,-0.4954870032939247,1.3963247242171762e+88,2500.7669410623707,0.00011846174403002848,21110333.648544457,83804922.42687054,7.256233155895101e+86,0.003289431569720156
7.962654218072691,0.003987251295391176,0.010061711037154378,29111.47600696115,0.0030113435857519015,0.49548298462137214,-0.49548298462137214,1.3963455194058346e+88,2500.803625021807,0.0001184634557133648,21110338.289242323,83804941.17690691,7.276800411117062e+86,0.0032927360654303596
7.95998666222074,0.0042736425595015,0.010070370394819284,31215.939414589426,0.003014025877803415,0.4954789611832949,-0.4954789611832949,1.3963663890294816e+88,2500.8404399743317,0.00011846517349401353,21110342.949024662,83804960.00405121,7.297424423459889e+86,0.003296044840461988
7.957319106368789,0.0045602466773165444,0.010079039736310193,33323.77968055285,0.0030167113515735373,0.49547493297263967,-0.49547493297263967,1.39638733335474e+88,2500.877386387804,0.00011846689739368811,21110347.627969958,83804978.90862058,7.318105345696769e+86,0.0032993579018248814
7.954651550516839,0.004847063870150853,0.010087719075988762,35435.0032183899,0.0030194000117727297,0.4954708999823409,-0.4954708999823409,1.3964083526491964e+88,2500.914464731762,0.00011846862743417917,21110352.32615709,83804997.89093368,7.338843327525164e+86,0.00330267525652915
7.9519839946648885,0.005134094359614826,0.01009640842824122,37549.616455696945,0.0030220918631198054,0.49546686220532027,-0.49546686220532027,1.3964294471813768e+88,2500.951675477402,0.00011847036363735499,21110357.043665096,83805016.95130987,7.359638520705079e+86,0.0033059969116050955
7.949316438812938,0.005421338367614633,0.010105107807478423,39667.62583415885,0.0030247869103419488,0.4954628196344871,-0.4954628196344871,1.3964506172207892e+88,2500.989019097622,0.00011847210602516165,21110361.780573484,83805036.0900704,7.380491080036065e+86,0.0033093228741070207
7.946648882960987,0.005708796116353072,0.010113817228135915,41789.03780958676,0.003027485158174729,0.4954587722627379,-0.4954587722627379,1.3964718630379015e+88,2501.026496067003,0.00011847385461962328,21110366.53696206,83805055.30753767,7.401401155939282e+86,0.003312653151084532
7.943981327109037,0.005996467828329866,0.010122536704673966,43913.85885195178,0.0030301866113621187,0.4954547200829568,-0.4954547200829568,1.3964931849041442e+88,2501.064106861815,0.00011847560944284251,21110371.312910873,83805074.60403517,7.422368901260288e+86,0.00331598774960891
7.941313771257086,0.00628435372634253,0.010131266251577621,46042.0954454229,0.0030328912746565187,0.4954506630880152,-0.4954506630880152,1.3965145830919262e+88,2501.1018519600348,0.00011847737051700051,21110376.108500376,83805093.97988792,7.443394471920368e+86,0.00331932667677566
7.938646215405135,0.006572454033486281,0.010140005883356763,48173.754088398055,0.0030355991528187654,0.49544660127077184,-0.49544660127077184,1.3965360578746404e+88,2501.1397318413524,0.00011847913786435746,21110380.9238114,83805113.4354225,7.46447802025849e+86,0.0033226699396787557
7.935978659553184,0.006860768973154908,0.010148755614546137,50308.84129354227,0.0030383102506181545,0.49544253462407273,-0.49544253462407273,1.3965576095266444e+88,2501.1777469871563,0.00011848091150725283,21110385.75892494,83805132.97096625,7.485619702015013e+86,0.0033260175454377077
7.933311103701234,0.007149298769041068,0.010157515459705417,52447.36358782169,0.0030410245728324523,0.4954384631407513,-0.4954384631407513,1.3965792383233016e+88,2501.2158978805787,0.0001184826914681054,21110390.613922592,83805152.58684866,7.506819670035495e+86,0.0033293695011732136
7.930643547849283,0.007438043645137158,0.010166285433419256,54589.327512542,0.003043742124247923,0.4954343868136281,-0.4954343868136281,1.3966009445409306e+88,2501.254185006444,0.00011848447776941393,21110395.488885954,83805172.28339958,7.528078080747813e+86,0.003332725814032262
7.927975991997332,0.00772700382573523,0.010175065550297315,56734.739623379755,0.0030464629096593338,0.495430305635511,-0.495430305635511,1.3966227284568794e+88,2501.2926088513464,0.00011848627043375712,21110400.383897305,83805192.06095135,7.5493950897114e+86,0.0033360864911709327
7.925308436145381,0.00801617953542786,0.01018385582497434,58883.60649042101,0.0030491869338699837,0.49542621959919503,-0.49542621959919503,1.3966445903494519e+88,2501.3311699035826,0.00011848806948379413,21110405.299038947,83805211.9198366,7.570770851219217e+86,0.003339451539752871
7.922640880293431,0.008305570999108456,0.010192656272110195,61035.934698195684,0.003051914201691716,0.49542212869746244,-0.49542212869746244,1.3966665304979782e+88,2501.369868653219,0.00011848987494226471,21110410.234393734,83805231.86039,7.592205523218908e+86,0.0033428209669683876
