Galaxy,N_points,T,A_T,D_spatial,D_total_v3p_T,f_gas,R_disk,M_bar,v3o_MAE,v3o_bias,v3p_T_MAE,v3p_T_bias,MAE_delta,MAE_improvement_pct
F563-V1,6,10,-0.5,0.6153329844990227,0.8396730140343006,0.0953203388436549,3.79,851130000.0,5.116170581858626,5.116170581858626,2.671453586466272,-2.448525114386223,-2.4447169953923535,47.78411814611986
F563-V2,10,10,-0.5,0.7009034719548558,0.9564410582062244,0.1619313636942829,2.43,1781477000.0,42.9419948511259,-41.22770403603986,52.692261108985385,-52.692261108985385,9.750266257859487,-22.705666775990135
F565-V2,7,10,-0.5,0.6297182272059494,0.8593028736479115,0.2495979509594138,2.17,372467000.0,30.40635613501635,-30.40635613501635,37.07287469792538,-37.07287469792538,6.6665185629090296,-21.924753276278906
F567-2,5,9,-0.4,0.6616582211184816,0.8484645722060093,0.2338716336484727,3.08,1392717000.0,6.85154472779995,-5.209487000515713,14.867060039767168,-14.867060039767168,8.015515311967217,-116.9884402774821
F568-1,12,5,0.0,0.6586929159792129,0.6586929159792129,0.1606327636770407,5.18,3724234000.0,53.0674964989957,-51.775842551786035,53.0674964989957,-51.775842551786035,0.0,0.0
F568-3,18,7,-0.2,0.6739097448360175,0.7631356398402878,0.0924186618558113,4.99,4597935000.0,27.56546791299034,-24.426426211918585,32.81367747976113,-31.610211289677792,5.248209566770793,-19.03907302911246
F568-V1,15,7,-0.2,0.6959794200773329,0.7881273481000441,0.1476524454241304,2.85,2243803000.0,48.49037778161826,-47.68694868726446,54.82394136620289,-54.82394136620289,6.333563584584631,-13.061485338614045
F571-8,13,5,0.0,0.7196597874594698,0.7196597874594699,0.0445583253713193,3.56,5319006000.0,37.17381380756281,-22.176759209190894,37.17381380756281,-22.176759209190894,0.0,0.0
F571-V1,7,7,-0.2,0.6719534967055223,0.7609203837467361,0.1489937506961313,2.47,1086361000.0,25.95430436883184,-25.95430436883184,31.531383629675723,-31.531383629675723,5.577079260843885,-21.488070655214017
F574-1,14,7,-0.2,0.6748431639790736,0.7641926440169355,0.1254128768337297,4.46,3737192000.0,32.26350449323855,-30.902015280208847,38.29250577942073,-37.805882101002,6.029001286182179,-18.686752666455295
F574-2,5,9,-0.4,0.6500852456398316,0.8336241918174082,0.1358974682426551,3.76,1664733000.0,12.2688172171958,12.2688172171958,2.8838303967938392,2.8838303967938392,-9.38498682040196,76.49463395092475
F579-V1,14,5,0.0,0.7351732227965161,0.7351732227965161,0.0479840773569183,3.37,6222585000.0,37.17533100581921,-37.17533100581921,37.17533100581921,-37.17533100581921,0.0,0.0
F583-1,25,9,-0.4,0.6588779565937105,0.8448993539780217,0.3644925350431449,2.36,775758000.0,23.740088443141808,-21.825217799822113,30.74192386123705,-30.56923328315458,7.001835418095244,-29.493720863192404
F583-4,12,5,0.0,0.6911231841528656,0.6911231841528656,0.0904298368713756,1.93,942753000.0,15.52558697136615,-14.420711127388413,15.52558697136615,-14.420711127388413,0.0,0.0
IC2574,34,9,-0.4,0.6324887829442423,0.8110597095562881,0.2133641380762727,2.78,645788000.0,13.314548980908178,-11.771831000750034,18.912765520113552,-18.880835321434503,5.598216539205374,-42.045859362060966
IC4202,32,4,0.1,0.8619920951868809,0.8100340653695641,0.0179137677705599,4.78,91513858000.0,48.869532584729654,-33.82803200587704,39.106872928237465,-22.207321697324037,-9.76265965649219,19.97698594633734
KK98-251,15,10,-0.5,0.5860130010266327,0.799663459022811,0.2646422700925686,1.34,57795000.0,5.538167579760506,-4.606524580387215,7.288461196919539,-7.259242797968537,1.7502936171590333,-31.604201063824135
