plane,mu,G_bound,M_star_true_msun,M_gate_msun,flux_advantage
z06,63.387627,0.86147,46112879.410992935,230564397.05496466,11.33764
z08,174.587357,0.939885,16742254.709772598,83711273.54886298,12.27862
z10,2547.705078,0.989069,1147301.555914236,5736507.779571179,12.868828
z15,106.389412,0.910534,27474406.945683658,137372034.7284183,11.926407999999999
z20,71.503822,0.87516,40878737.92256867,204393689.61284333,11.50192
