M_BH,phi_total,phi_sink,delta_flux,sigma_env_pred,sigma_bulge_sim,M_star,M_gas,R_disk_90,arm_contrast,v_flat,sink_saturation,morphology_index
1000000.0,0.45,0.01,0.9777777777777777,65.32298268115848,140.00816012143497,1474298860317.8157,31108024258202.88,18.25,0.9103004742171226,588.3219168865094,1.0,3.4968377016282792
1000000.0,1.0285714285714285,0.01,0.9902777777777778,65.32298268115848,141.8901795949192,1559265684396.1958,32460527291602.844,18.75,0.9096951795770976,606.5003028744998,1.0,3.6205553591852038
1000000.0,1.607142857142857,0.01,0.9937777777777778,65.32298268115848,142.4242580786982,1583902753726.7725,32850323347477.258,18.75,0.9094417360071393,611.6817660335763,1.0,3.628068170406926
1000000.0,2.1857142857142855,0.01,0.9954248366013073,65.32298268115848,142.66993548361074,1595492090489.4946,33036836184378.33,18.75,0.9094511394745602,614.106304769684,1.0,3.6320753567502577
1000000.0,2.7642857142857142,0.01,0.9963824289405685,65.32298268115848,142.81112094385668,1602245374527.711,33143396297908.113,18.75,0.9094359502912868,615.5152873331349,1.0,3.6343165577567587
1000000.0,3.3428571428571425,0.01,0.997008547008547,65.32298268115848,142.91050043552994,1606803089051.3833,33211792899899.55,18.75,0.9092900682434399,616.4644538653366,1.0,3.635282174845284
1000000.0,3.9214285714285713,0.01,0.9974499089253188,65.32298268115848,142.97703847564816,1609982326144.6506,33258914973838.152,18.75,0.9094836288325484,617.1277274146877,1.0,3.637134261715273
1000000.0,4.5,0.01,0.9977777777777779,65.32298268115848,143.0226747278434,1612329525368.0674,33295526319501.117,18.75,0.9094719447841904,617.6151742951478,1.0,3.637882421939078
2070627.283873902,0.45,0.02070627283873902,0.9539860603583578,77.2205903527158,142.0829485467202,1325415879217.3696,28640018366708.34,17.75,0.9112850618083819,555.2042725946374,1.0,3.0042090689845242
2070627.283873902,1.0285714285714285,0.02070627283873902,0.9798689014067815,77.2205903527158,145.8372649316508,1491352640686.5789,31335040325243.453,18.5,0.9100979655922702,591.95770543034,1.0,3.1828900965376627
