p0,p_high,zt,w,theta_star,theta_err_ppm,theta_abs_err_ppm,r_s_Mpc,D_M_Mpc,sn_shape_max_abs,sn_shape_end,sn_offset,strict_cmb_pass,score
0.185,0.22,1.6999999999999997,0.35,0.010421416239094924,789.0215394810953,789.0215394810953,143.23999001802093,13744.771989882729,0.1277683527186042,0.1277683527186042,-0.1700159806027557,True,5.843795492737346
0.19,0.22,2.3,0.35,0.01042145173924213,792.4306881775153,792.4306881775153,143.23999001802093,13744.72516901351,0.12780002674748303,0.12780002674748303,-0.1699739929460513,True,5.748468142142573
0.18000000000000002,0.22,1.4,0.35,0.010421390245462927,786.5253200675774,786.5253200675774,143.23999001802093,13744.806272884956,0.12780328994771395,0.12780328994771395,-0.17005590387361025,True,5.96613058789961
0.18000000000000002,0.22,1.5,0.49999999999999994,0.010421403053094752,787.7552620474574,787.7552620474574,143.23999001802093,13744.789380877484,0.1278274743503367,0.1278274743503367,-0.1700452297898316,True,5.970873314932066
0.185,0.22,2.0,0.6499999999999999,0.010421473037166755,794.475969611205,794.475969611205,143.23999001802093,13744.697079498757,0.12785053467019125,0.12785053467019125,-0.1700044855706686,True,5.863126274536984
0.18000000000000002,0.22,1.5999999999999999,0.6499999999999999,0.010421422979526158,789.6688362999404,789.6688362999404,143.23999001802093,13744.763099955644,0.1278578630178906,0.1278578630178906,-0.17003408065182768,True,5.977748065279931
0.17500000000000002,0.22,1.2,0.35,0.010421330452901516,780.7833232355979,780.7833232355979,143.23999001802093,13744.88513394563,0.1278647009841407,0.1278647009841407,-0.17009355239004975,True,6.102430241841556
0.19,0.22,2.5,0.49999999999999994,0.0104214577970318,793.0124295894665,793.0124295894665,143.23999001802093,13744.71717947349,0.1278760077752672,0.1278760077752672,-0.16997254110770754,True,5.755305521634517
0.17500000000000002,0.22,1.4,0.7999999999999998,0.010421446498394937,791.9273993525636,791.9273993525636,143.23999001802093,13744.732081106216,0.12788255141351712,0.12788255141351712,-0.17004668978109905,True,6.131083364975209
0.19,0.22,2.1999999999999997,0.35,0.010421240863978717,772.1799234354012,772.1799234354012,143.23999001802093,13745.003295445707,0.12788378148314195,0.12788378148314195,-0.16997386359960132,True,5.704909550988736
0.18000000000000002,0.22,1.6999999999999997,0.7999999999999998,0.01042144968604063,792.2335152144066,792.2335152144066,143.23999001802093,13744.727876956378,0.12788641189564842,0.12788641189564842,-0.17002411388250138,True,5.9861153541198435
0.185,0.22,1.7999999999999998,0.49999999999999994,0.01042126719910584,774.7089372949665,774.7089372949665,143.23999001802093,13744.96856105092,0.12789013067740385,0.12789013067740385,-0.1700099612335073,True,5.8174733120166255
0.17,0.22,1.0999999999999999,0.49999999999999994,0.010421334943247948,781.2145400019608,781.2145400019608,143.23999001802093,13744.879211547372,0.127897741060508,0.127897741060508,-0.17010523435592262,True,6.271830015104771
0.17,0.22,1.2,0.9499999999999998,0.010421465087252444,793.7125237626482,793.7125237626482,143.23999001802093,13744.707564508599,0.12790320016401324,0.12790320016401324,-0.1700520005514008,True,6.302973248769457
0.18000000000000002,0.22,1.7999999999999998,0.9499999999999998,0.010421479179421113,795.06582233255,795.06582233255,143.23999001802093,13744.688978592534,0.12791126566470723,0.12791126566470723,-0.17001563693336408,True,5.9949058977235605
0.18000000000000002,0.22,1.9,1.0999999999999996,0.010421508763227295,797.9068132078394,797.9068132078394,143.23999001802093,13744.649961188814,0.12793243396474452,0.12793243396474452,-0.17000851995707933,True,6.003481562378707
0.185,0.22,2.3,0.9499999999999998,0.010421491915234744,796.2888674705608,796.2888674705608,143.23999001802093,13744.67218159277,0.12793721693632065,0.12793721693632065,-0.16999281595999705,True,5.873791320829134
0.17500000000000002,0.22,1.5,1.0999999999999996,0.010421436541242078,790.9711944530923,790.9711944530923,143.23999001802093,13744.745213499029,0.1279495149142349,0.1279495149142349,-0.17002469906801565,True,6.133477128637465
0.19,0.22,2.4,0.49999999999999994,0.010421262535855758,774.2611162523262,774.2611162523262,143.23999001802093,13744.97471157496,0.1279510400142101,0.1279510400142101,-0.16997213637086617,True,5.714718109446435
0.19,0.22,2.6999999999999997,0.6499999999999999,0.010421427540424223,790.1068282779559,790.1068282779559,143.23999001802093,13744.757084612429,0.1279532199451019,0.1279532199451019,-0.16997016601670722,True,5.753605137453898
0.185,0.22,2.0999999999999996,0.7999999999999998,0.010421336244036848,781.3394573088602,781.3394573088602,143.23999001802093,13744.87749591457,0.12796147690628246,0.12796147690628246,-0.16999714979097647,True,5.8386648338869165
0.17500000000000002,0.22,1.2999999999999998,0.6499999999999999,0.010421199714174373,768.2282270938815,768.2282270938815,143.23999001802093,13745.05756982983,0.1279682635640782,0.1279682635640782,-0.1700581070652163,True,6.079402404080364
0.17,0.22,1.2,1.0999999999999996,0.010421380394445753,785.5793075859323,785.5793075859323,143.23999001802093,13744.819265436568,0.12796873581360302,0.12796873581360302,-0.1700384060370297,True,6.2875613523846345
0.19,0.21,1.9,0.35,0.010421475067560765,794.6709523264996,794.6709523264996,143.2399900176926,13744.694401616905,0.1279716802852846,0.1279716802852846,-0.16997356818667697,True,5.766219241372589
0.19,0.22,2.0999999999999996,0.35,0.01042100723350647,749.7439314016252,749.7439314016252,143.23999001802093,13745.311447195245,0.12798226785449884,0.12798226785449884,-0.16997369167307141,True,5.65855643756097
0.185,0.22,1.5999999999999999,0.35,0.010420976857910724,746.8269034229986,746.8269034229986,143.23999001802093,13745.35151273129,0.12798304636745428,0.12798304636745428,-0.17001515567685743,True,5.757790636298228
0.17500000000000002,0.22,1.5999999999999999,1.4,0.010421458225227588,793.0535500699964,793.0535500699964,143.23999001802093,13744.716614731984,0.12799224936345155,0.12799224936345155,-0.1700096865779912,True,6.141669242168953
0.18000000000000002,0.21,1.0999999999999999,0.35,0.010421514852515211,798.4915794579753,798.4915794579753,143.2399900176926,13744.641930162574,0.1279990100754098,0.1279990100754098,-0.17005104890617062,True,6.009673220597815
0.185,0.22,2.5999999999999996,1.2499999999999998,0.010421506534687612,797.6928021754331,797.6928021754331,143.23999001802093,13744.652900350995,0.12800053600880545,0.12800053600880545,-0.1699837145054346,True,5.881789550251539
0.185,0.22,1.9,0.6499999999999999,0.010421135646494842,762.075682291958,762.075682291958,143.23999001802093,13745.142072514893,0.12800279784807955,0.12800279784807955,-0.17000227693334224,True,5.795146548778628
0.17,0.22,1.0999999999999999,0.6499999999999999,0.010421135558052323,762.0671889835672,762.0671889835672,143.23999001802093,13745.142189167726,0.12800993635655544,0.12800993635655544,-0.1700804610787472,True,6.233633974712299
0.17,0.22,1.2,1.2499999999999998,0.010421322829388431,780.0512223362875,780.0512223362875,143.23999001802093,13744.89518874514,0.12801967297477646,0.12801967297477646,-0.17002728496524,True,6.277660044257805
0.17500000000000002,0.22,1.4,0.9499999999999998,0.010421217175844521,769.9051054932224,769.9051054932224,143.23999001802093,13745.034538771422,0.1280204857125753,0.1280204857125753,-0.17003145567131384,True,6.087145913631021
0.185,0.22,2.4,1.0999999999999996,0.010421381353825754,785.6714387272519,785.6714387272519,143.23999001802093,13744.818000104819,0.12802198003524623,0.12802198003524623,-0.16998667333712447,True,5.853573660089884
0.19,0.22,2.5999999999999996,0.6499999999999999,0.010421247599861157,772.8267834246806,772.8267834246806,143.23999001802093,13744.994411218991,0.1280220740168474,0.1280220740168474,-0.1699694773911844,True,5.716301637417898
0.19,0.22,2.3,0.49999999999999994,0.010421049336537837,753.7871680019853,753.7871680019853,143.23999001802093,13745.255913509498,0.12803664187730135,0.12803664187730135,-0.16997164371267104,True,5.6719219640531575
0.17500000000000002,0.22,1.5,1.2499999999999998,0.010421270423876881,775.018618376883,775.018618376883,143.23999001802093,13744.96430779054,0.12805191548787676,0.12805191548787676,-0.1700136931658811,True,6.101725282232682
0.185,0.22,2.1999999999999997,0.9499999999999998,0.01042122652873647,770.8032820334569,770.8032820334569,143.23999001802093,13745.022202812454,0.12805216467504366,0.12805216467504366,-0.16999022580533918,True,5.81956151060506
0.18000000000000002,0.21,1.2,0.7999999999999998,0.010421465073729262,793.7112251049278,793.7112251049278,143.2399900176926,13744.707582312609,0.12805543466015123,0.12805543466015123,-0.17001333489688975,True,6.001793842590019
0.17,0.22,1.2,1.4,0.010421283053719107,776.2314868732022,776.2314868732022,143.23999001802093,13744.947649886737,0.12806030245724997,0.12806030245724997,-0.17001809086798403,True,6.271261735352117
0.17,0.21,0.7,0.7999999999999998,0.010421481060611193,795.246476702047,795.246476702047,143.2399900176926,13744.686497495966,0.12806114851799677,0.12806114851799677,-0.1700451727902852,True,6.318011986798724
0.19,0.21,2.0,0.49999999999999994,0.010421362106434264,783.8230740084675,783.8230740084675,143.2399900176926,13744.8433856122,0.1280624559496033,0.1280624559496033,-0.1699710831888126,True,5.7459200868547375
0.185,0.22,2.6999999999999997,1.4,0.010421414984095758,788.9010194521557,788.9010194521557,143.23999001802093,13744.773645097248,0.12806647362387125,0.12806647362387125,-0.16997881834988604,True,5.864684380687463
