Galaxy,R,Vobs,Vgas,Vdisk,Vbul,T,L36,R_disk,Vflat,MHI,Q,M_star,M_gas,M_bar,f_gas,Sigma_bar,D_spatial,eta,L_chi,x,M_hist,g_hist,V_bar_sq,V_flux,residual,abs_res
CamB,0.16,1.99,1.86,3.75,0.0,10,0.075,0.47,66.2,0.012,0.0,37500000.0,1596000.0000000002,39096000.0,0.04082259054634746,28168047.32965478,0.6716263496388193,68.10162272531323,23.170606846350797,0.006905300368738459,3058455.612027906,513.833684622146,10.49085,9.62830408428937,7.63830408428937,7.63830408428937
CamB,0.41,4.84,4.24,9.47,0.0,10,0.075,0.47,66.2,0.012,0.0,37500000.0,1596000.0000000002,39096000.0,0.04082259054634746,28168047.32965478,0.6716263496388193,68.10162272531323,23.170606846350797,0.017694832194892297,10955157.644048523,280.2923680122828,62.81805000000001,13.331838616073776,8.491838616073776,8.491838616073776
CamB,0.57,6.79,5.61,11.76,0.0,10,0.075,0.47,66.2,0.012,0.0,37500000.0,1596000.0000000002,39096000.0,0.04082259054634746,28168047.32965478,0.6716263496388193,68.10162272531323,23.170606846350797,0.024600132563630753,17106656.233689707,226.45179705151858,100.6209,15.155804971012447,8.365804971012448,8.365804971012448
CamB,0.73,8.87,6.77,13.72,0.0,10,0.075,0.47,66.2,0.012,0.0,37500000.0,1596000.0000000002,39096000.0,0.04082259054634746,28168047.32965478,0.6716263496388193,68.10162272531323,23.170606846350797,0.031505432932369216,23891546.021198988,192.82302345287098,139.9521,16.75448916322416,7.884489163224162,7.884489163224162
CamB,0.9,10.9,7.77,14.8,0.0,10,0.075,0.47,66.2,0.012,0.0,37500000.0,1596000.0000000002,39096000.0,0.04082259054634746,28168047.32965478,0.6716263496388193,68.10162272531323,23.170606846350797,0.03884231457415383,31680122.83215326,168.2140210988102,169.8929,17.9244391540971,7.0244391540971005,7.0244391540971005
CamB,1.06,12.9,8.44,15.24,0.0,10,0.075,0.47,66.2,0.012,0.0,37500000.0,1596000.0000000002,39096000.0,0.04082259054634746,28168047.32965478,0.6716263496388193,68.10162272531323,23.170606846350797,0.045747614942892284,39481824.17742319,151.12831294314802,187.36239999999998,18.64291854082233,5.742918540822329,5.742918540822329
CamB,1.22,14.7,8.64,15.11,0.0,10,0.075,0.47,66.2,0.012,0.0,37500000.0,1596000.0000000002,39096000.0,0.04082259054634746,28168047.32965478,0.6716263496388193,68.10162272531323,23.170606846350797,0.052652915311630744,47687176.56931167,137.7978060862122,188.80565,18.892299315466577,4.1922993154665775,4.1922993154665775
CamB,1.47,16.8,8.08,15.9,0.0,10,0.075,0.47,66.2,0.012,0.0,37500000.0,1596000.0000000002,39096000.0,0.04082259054634746,28168047.32965478,0.6716263496388193,68.10162272531323,23.170606846350797,0.06344244713778459,61222273.00315458,121.85269386922005,191.6914,19.2565536892704,2.4565536892704003,2.4565536892704003
CamB,1.79,20.1,6.91,14.91,0.0,10,0.075,0.47,66.2,0.012,0.0,37500000.0,1596000.0000000002,39096000.0,0.04082259054634746,28168047.32965478,0.6716263496388193,68.10162272531323,23.170606846350797,0.07725304787526151,79656395.4160611,106.92393733307054,158.90215,18.7161961366672,-1.3838038633328011,1.3838038633328011
D512-2,0.96,22.9,4.08,14.85,0.0,10,0.325,1.24,93.94,0.081,0.0,162500000.0,10773000.0,173273000.0,0.06217356425986738,17935259.140453942,0.6478042597090035,99.56132014267736,72.17840803644253,0.013300376471524567,48218171.58166055,225.02388925486073,126.90764999999999,18.51838501826405,-4.38161498173595,4.38161498173595
D512-2,1.92,33.5,6.24,21.2,0.0,10,0.325,1.24,93.94,0.081,0.0,162500000.0,10773000.0,173273000.0,0.06217356425986738,17935259.140453942,0.6478042597090035,99.56132014267736,72.17840803644253,0.026600752943049134,123189223.38779454,143.72443651280366,263.6576,23.229475200800017,-10.270524799199983,10.270524799199983
D512-2,2.88,37.2,7.45,20.56,0.0,10,0.325,1.24,93.94,0.081,0.0,162500000.0,10773000.0,173273000.0,0.06217356425986738,17935259.140453942,0.6478042597090035,99.56132014267736,72.17840803644253,0.0399011294145737,212835594.054088,110.36201953404316,266.85929999999996,24.180610336756274,-13.019389663243729,13.019389663243729
D512-2,3.83,35.9,8.09,20.08,0.0,10,0.325,1.24,93.94,0.081,0.0,162500000.0,10773000.0,173273000.0,0.06217356425986738,17935259.140453942,0.6478042597090035,99.56132014267736,72.17840803644253,0.05306296029785322,312215446.6291328,91.54132460932335,267.05129999999997,24.852657267457506,-11.047342732542493,11.047342732542493
D564-8,0.51,8.54,3.47,6.36,0.0,10,0.033,0.61,21.13,0.029,0.0,16500000.0,3857000.000000001,20357000.0,0.18946799626664051,8707114.153511727,0.6114164596952488,175.48779835160477,46.32400999423356,0.011009409592638571,7727658.311829527,127.78147985363601,32.2657,9.870879126266027,1.3308791262660282,1.3308791262660282
D564-8,1.02,15.1,5.33,8.66,0.0,10,0.033,0.61,21.13,0.029,0.0,16500000.0,3857000.000000001,20357000.0,0.18946799626664051,8707114.153511727,0.6114164596952488,175.48779835160477,46.32400999423356,0.022018819185277143,19758563.852200944,81.67993546479195,65.9067,12.215573427968407,-2.884426572031593,2.884426572031593
D564-8,1.53,19.8,6.34,9.09,0.0,10,0.033,0.61,21.13,0.029,0.0,16500000.0,3857000.000000001,20357000.0,0.18946799626664051,8707114.153511727,0.6114164596952488,175.48779835160477,46.32400999423356,0.03302822877791571,34163652.86457644,62.768506233408274,81.50965,13.324618738902613,-6.475381261097388,6.475381261097388
D564-8,2.04,21.9,6.86,8.75,0.0,10,0.033,0.61,21.13,0.029,0.0,16500000.0,3857000.000000001,20357000.0,0.18946799626664051,8707114.153511727,0.6114164596952488,175.48779835160477,46.32400999423356,0.044037638370554286,50329608.74790113,52.01439772201447,85.34085,13.836553810573987,-8.063446189426012,8.063446189426012
D564-8,2.56,24.0,7.05,8.17,0.0,10,0.033,0.61,21.13,0.029,0.0,16500000.0,3857000.000000001,20357000.0,0.18946799626664051,8707114.153511727,0.6114164596952488,175.48779835160477,46.32400999423356,0.0552629187395191,68274865.22415137,44.80652627429273,83.07695,14.063486668041797,-9.936513331958203,9.936513331958203
D564-8,3.07,25.0,7.04,7.65,0.0,10,0.033,0.61,21.13,0.029,0.0,16500000.0,3857000.000000001,20357000.0,0.18946799626664051,8707114.153511727,0.6114164596952488,175.48779835160477,46.32400999423356,0.06627232833215767,87084327.69204049,39.73961058621034,78.82285,14.17121923123292,-10.82878076876708,10.82878076876708
D631-7,0.45,8.41,8.4,9.99,0.0,10,0.196,0.7,115.04,0.29,2.7,98000000.0,38570000.0,136570000.0,0.2824192721681189,44358756.28175541,0.6964750061162897,45.51417721683823,29.198441188052996,0.015411781646210779,21212442.9149748,450.53238448120624,120.46005,17.977753558677534,9.567753558677534,9.567753558677534
D631-7,0.9,17.8,13.51,15.52,0.0,10,0.196,0.7,115.04,0.29,2.7,98000000.0,38570000.0,136570000.0,0.2824192721681189,44358756.28175541,0.6964750061162897,45.51417721683823,29.198441188052996,0.030823563292421557,54154719.482459106,287.5488574929669,302.95529999999997,23.701250425740625,5.901250425740624,5.901250425740624
D631-7,1.35,26.0,16.7,20.76,0.0,10,0.196,0.7,115.04,0.29,2.7,98000000.0,38570000.0,136570000.0,0.2824192721681189,44358756.28175541,0.6964750061162897,45.51417721683823,29.198441188052996,0.046235344938632336,93497544.39328603,220.6444574247066,494.3788,28.146914884643287,2.1469148846432873,2.1469148846432873
D631-7,1.8,30.9,18.72,21.37,0.0,10,0.196,0.7,115.04,0.29,2.7,98000000.0,38570000.0,136570000.0,0.2824192721681189,44358756.28175541,0.6964750061162897,45.51417721683823,29.198441188052996,0.061647126584843115,137540499.8167005,182.57694786007568,578.77685,30.123335740719956,-0.776664259280043,0.776664259280043
D631-7,2.25,34.7,19.9,19.92,0.0,10,0.196,0.7,115.04,0.29,2.7,98000000.0,38570000.0,136570000.0,0.2824192721681189,44358756.28175541,0.6964750061162897,45.51417721683823,29.198441188052996,0.0770589082310539,185342441.34057605,157.4599821009574,594.4132,30.80094413694415,-3.899055863055853,3.899055863055853
D631-7,2.69,38.8,20.61,18.76,0.0,10,0.196,0.7,115.04,0.29,2.7,98000000.0,38570000.0,136570000.0,0.2824192721681189,44358756.28175541,0.6964750061162897,45.51417721683823,29.198441188052996,0.09212820584068221,235124267.4689747,139.75046132585067,600.7409,31.251714208448444,-7.548285791551553,7.548285791551553
D631-7,3.14,42.5,20.73,17.36,0.0,10,0.196,0.7,115.04,0.29,2.7,98000000.0,38570000.0,136570000.0,0.2824192721681189,44358756.28175541,0.6964750061162897,45.51417721683823,29.198441188052996,0.10753998748689299,288713964.9970901,125.9414965308567,580.4177,31.23898204338435,-11.26101795661565,11.26101795661565
D631-7,3.59,45.6,20.61,16.32,0.0,10,0.196,0.7,115.04,0.29,2.7,98000000.0,38570000.0,136570000.0,0.2824192721681189,44358756.28175541,0.6964750061162897,45.51417721683823,29.198441188052996,0.12295176913310377,344676212.4271774,115.02249119654344,557.9432999999999,31.158851766321412,-14.44114823367859,14.44114823367859
D631-7,4.04,48.8,20.38,15.37,0.0,10,0.196,0.7,115.04,0.29,2.7,98000000.0,38570000.0,136570000.0,0.2824192721681189,44358756.28175541,0.6964750061162897,45.51417721683823,29.198441188052996,0.13836355077931453,402745190.0198723,106.1275129404206,533.4628499999999,31.01963897725599,-17.780361022744007,17.780361022744007
D631-7,4.49,51.8,19.9,14.49,0.0,10,0.196,0.7,115.04,0.29,2.7,98000000.0,38570000.0,136570000.0,0.2824192721681189,44358756.28175541,0.6964750061162897,45.51417721683823,29.198441188052996,0.15377533242552532,462705043.2474255,98.71244426135209,500.99004999999994,30.72798276381759,-21.072017236182408,21.072017236182408
D631-7,4.94,54.8,19.43,13.72,0.0,10,0.196,0.7,115.04,0.29,2.7,98000000.0,38570000.0,136570000.0,0.2824192721681189,44358756.28175541,0.6964750061162897,45.51417721683823,29.198441188052996,0.16918711407173612,524376550.6509284,92.41654306987837,471.6441,30.466076589629967,-24.33392341037003,24.33392341037003
D631-7,5.39,56.6,18.84,13.04,0.0,10,0.196,0.7,115.04,0.29,2.7,98000000.0,38570000.0,136570000.0,0.2824192721681189,44358756.28175541,0.6964750061162897,45.51417721683823,29.198441188052996,0.18459889571794685,587608275.3800513,86.99027979611857,439.9664,30.147039790020496,-26.452960209979505,26.452960209979505
D631-7,5.84,58.4,18.25,12.45,0.0,10,0.196,0.7,115.04,0.29,2.7,98000000.0,38570000.0,136570000.0,0.2824192721681189,44358756.28175541,0.6964750061162897,45.51417721683823,29.198441188052996,0.20001067736415765,652270431.3125644,82.25500858323916,410.56374999999997,29.848500801985292,-28.551499198014707,28.551499198014707
D631-7,6.29,58.5,17.65,11.93,0.0,10,0.196,0.7,115.04,0.29,2.7,98000000.0,38570000.0,136570000.0,0.2824192721681189,44358756.28175541,0.6964750061162897,45.51417721683823,29.198441188052996,0.21542245901036844,718250479.2187289,78.07913407803092,382.6849499999999,29.56015398049906,-28.93984601950094,28.93984601950094
D631-7,6.74,57.7,17.06,11.48,0.0,10,0.196,0.7,115.04,0.29,2.7,98000000.0,38570000.0,136570000.0,0.2824192721681189,44358756.28175541,0.6964750061162897,45.51417721683823,29.198441188052996,0.23083424065657923,785449872.4142752,74.36336523975027,356.93879999999996,29.29416122226265,-28.40583877773735,28.40583877773735
D631-7,7.19,57.3,16.47,11.08,0.0,10,0.196,0.7,115.04,0.29,2.7,98000000.0,38570000.0,136570000.0,0.2824192721681189,44358756.28175541,0.6964750061162897,45.51417721683823,29.198441188052996,0.24624602230279,853781593.000776,71.03123429335997,332.6440999999999,29.04063832923199,-28.25936167076801,28.25936167076801
DDO064,0.1,6.29,-1.13,1.96,0.0,10,0.157,0.69,151.65,0.211,3.9,78500000.0,28063000.0,106563000.0,0.2633465649428038,35622827.558709614,0.6843613243114729,55.43877309375817,31.200609288604152,0.003205065615065551,2392533.177216687,1029.0069867223017,3.1976999999999993,10.300407694466767,4.010407694466767,4.010407694466767
DDO064,0.3,13.9,-2.45,6.31,0.0,10,0.157,0.69,151.65,0.211,3.9,78500000.0,28063000.0,106563000.0,0.2633465649428038,35622827.558709614,0.6843613243114729,55.43877309375817,31.200609288604152,0.009615196845196652,10635234.169014376,508.23538877617347,25.910549999999997,13.355941248480095,-0.5440587515199056,0.5440587515199056
DDO064,0.49,15.6,-0.64,9.67,0.0,10,0.157,0.69,151.65,0.211,3.9,78500000.0,28063000.0,106563000.0,0.2633465649428038,35622827.558709614,0.6843613243114729,55.43877309375817,31.200609288604152,0.015704821513821198,20681814.120215714,370.4732243555892,47.164049999999996,15.122695855377067,-0.47730414462293247,0.47730414462293247
DDO064,0.69,18.4,2.49,13.92,0.0,10,0.157,0.69,151.65,0.211,3.9,78500000.0,28063000.0,106563000.0,0.2633465649428038,35622827.558709614,0.6843613243114729,55.43877309375817,31.200609288604152,0.0221149527439523,32867988.257366776,296.9171589497823,103.08330000000001,17.548679143324428,-0.8513208566755708,0.8513208566755708
DDO064,0.89,22.5,1.87,15.16,0.0,10,0.157,0.69,151.65,0.211,3.9,78500000.0,28063000.0,106563000.0,0.2633465649428038,35622827.558709614,0.6843613243114729,55.43877309375817,31.200609288604152,0.0285250839740834,46358707.18159256,251.716484414068,118.4097,18.50506339163745,-3.9949366083625506,3.9949366083625506
DDO064,1.09,26.5,4.97,16.41,0.0,10,0.157,0.69,151.65,0.211,3.9,78500000.0,28063000.0,106563000.0,0.2633465649428038,35622827.558709614,0.6843613243114729,55.43877309375817,31.200609288604152,0.034935215204214505,60938191.97832991,220.59563947607006,159.34494999999998,19.994854263757873,-6.505145736242127,6.505145736242127
DDO064,1.29,35.3,9.29,17.34,0.0,10,0.157,0.69,151.65,0.211,3.9,78500000.0,28063000.0,106563000.0,0.2633465649428038,35622827.558709614,0.6843613243114729,55.43877309375817,31.200609288604152,0.041345346434345606,76458566.58067633,197.60916627155615,236.64189999999996,22.17110111136358,-13.128898888636417,13.128898888636417
DDO064,1.48,40.5,13.62,18.34,0.0,10,0.157,0.69,151.65,0.211,3.9,78500000.0,28063000.0,106563000.0,0.2633465649428038,35622827.558709614,0.6843613243114729,55.43877309375817,31.200609288604152,0.04743497110297015,91974715.80845788,180.59485708900408,353.68219999999997,24.919120941392094,-15.580879058607906,15.580879058607906
DDO064,1.68,44.2,16.26,19.12,0.0,10,0.157,0.69,151.65,0.211,3.9,78500000.0,28063000.0,106563000.0,0.2633465649428038,35622827.558709614,0.6843613243114729,55.43877309375817,31.200609288604152,0.05384510233310125,109038344.36490636,166.15791725569355,447.1748000000001,26.95032654699318,-17.249673453006825,17.249673453006825
DDO064,1.88,46.3,18.16,19.54,0.0,10,0.157,0.69,151.65,0.211,3.9,78500000.0,28063000.0,106563000.0,0.2633465649428038,35622827.558709614,0.6843613243114729,55.43877309375817,31.200609288604152,0.06025523356323235,126784215.81953885,154.28007629595203,520.6913999999999,28.473460334781752,-17.826539665218245,17.826539665218245
DDO064,2.08,46.4,19.64,19.1,0.0,10,0.157,0.69,151.65,0.211,3.9,78500000.0,28063000.0,106563000.0,0.2633465649428038,35622827.558709614,0.6843613243114729,55.43877309375817,31.200609288604152,0.06666536479336345,145155752.8687537,144.30053371642737,568.1346000000001,29.466586333170135,-16.933413666829864,16.933413666829864
DDO064,2.27,46.3,20.17,18.77,0.0,10,0.157,0.69,151.65,0.211,3.9,78500000.0,28063000.0,106563000.0,0.2633465649428038,35622827.558709614,0.6843613243114729,55.43877309375817,31.200609288604152,0.072754989461988,163144800.43682796,136.1701379120025,582.98535,29.86790188580788,-16.43209811419212,16.43209811419212
DDO064,2.37,46.4,20.59,18.61,0.0,10,0.157,0.69,151.65,0.211,3.9,78500000.0,28063000.0,106563000.0,0.2633465649428038,35622827.558709614,0.6843613243114729,55.43877309375817,31.200609288604152,0.07596005507705356,172810212.35714558,132.32230775498422,597.11415,30.178104966669338,-16.22189503333066,16.22189503333066
DDO064,2.98,46.9,22.17,17.21,0.0,10,0.157,0.69,151.65,0.211,3.9,78500000.0,28063000.0,106563000.0,0.2633465649428038,35622827.558709614,0.6843613243114729,55.43877309375817,31.200609288604152,0.09551095532895341,234439272.4410978,113.54243178625308,639.6009500000001,31.272310383517144,-15.627689616482854,15.627689616482854
DDO154,0.49,13.8,3.74,12.31,0.0,10,0.053,0.37,71.26,0.275,1.0,26500000.0,36575000.00000001,63075000.00000001,0.5798652397938963,73328692.73572901,0.7250519123804935,28.437523349179653,12.82717277425419,0.03820015592083502,20868749.300027095,373.82179321940663,89.75565,16.520542626606105,2.720542626606104,2.720542626606104
DDO154,0.99,21.6,7.46,14.55,0.0,10,0.053,0.37,71.26,0.275,1.0,26500000.0,36575000.00000001,63075000.00000001,0.5798652397938963,73328692.73572901,0.7250519123804935,28.437523349179653,12.82717277425419,0.0771799068604626,53595835.09768765,235.1911673604691,161.50285000000002,19.85804888922536,-1.741951110774643,1.741951110774643
DDO154,1.48,28.9,10.87,12.95,0.0,10,0.053,0.37,71.26,0.275,1.0,26500000.0,36575000.00000001,63075000.00000001,0.5798652397938963,73328692.73572901,0.7250519123804935,28.437523349179653,12.82717277425419,0.11538006278129762,91448090.68675047,179.56081433325053,202.00814999999997,21.627717290856445,-7.272282709143553,7.272282709143553
DDO154,1.97,34.3,13.32,11.54,0.0,10,0.053,0.37,71.26,0.275,1.0,26500000.0,36575000.00000001,63075000.00000001,0.5798652397938963,73328692.73572901,0.7250519123804935,28.437523349179653,12.82717277425419,0.15358021870213262,133299280.35631658,147.7255811480032,244.0082,23.130663519699695,-11.169336480300302,11.169336480300302
DDO154,2.47,38.2,14.77,10.18,0.0,10,0.053,0.37,71.26,0.275,1.0,26500000.0,36575000.00000001,63075000.00000001,0.5798652397938963,73328692.73572901,0.7250519123804935,28.437523349179653,12.82717277425419,0.19255996964176023,179153756.90561098,126.29680614547215,269.96909999999997,24.123063884575615,-14.076936115424388,14.076936115424388
DDO154,2.96,42.0,16.2,9.16,0.0,10,0.053,0.37,71.26,0.275,1.0,26500000.0,36575000.00000001,63075000.00000001,0.5798652397938963,73328692.73572901,0.7250519123804935,28.437523349179653,12.82717277425419,0.23076012556259523,226561046.5124676,111.21469486805344,304.3928,25.17117988512732,-16.82882011487268,16.82882011487268
DDO154,3.46,44.6,17.6,8.37,0.0,10,0.053,0.37,71.26,0.275,1.0,26500000.0,36575000.00000001,63075000.00000001,0.5798652397938963,73328692.73572901,0.7250519123804935,28.437523349179653,12.82717277425419,0.2697398765022228,277011071.0416302,99.51883503906393,344.78845,26.251164150093633,-18.34883584990637,18.34883584990637
DDO154,3.95,46.3,17.91,7.77,0.0,10,0.053,0.37,71.26,0.275,1.0,26500000.0,36575000.00000001,63075000.00000001,0.5798652397938963,73328692.73572901,0.7250519123804935,28.437523349179653,12.82717277425419,0.30794003242305784,328164331.6935713,90.46019905939417,350.95455,26.61338641143977,-19.686613588560228,19.686613588560228
DDO154,4.44,47.4,17.48,7.29,0.0,10,0.053,0.37,71.26,0.275,1.0,26500000.0,36575000.00000001,63075000.00000001,0.5798652397938963,73328692.73572901,0.7250519123804935,28.437523349179653,12.82717277425419,0.3461401883438929,380766980.679939,83.07181412203533,332.12245,26.475673829042332,-20.924326170957666,20.924326170957666
DDO154,4.94,48.2,16.93,6.89,0.0,10,0.053,0.37,71.26,0.275,1.0,26500000.0,36575000.00000001,63075000.00000001,0.5798652397938963,73328692.73572901,0.7250519123804935,28.437523349179653,12.82717277425419,0.38511993928352045,435736698.62622887,76.79458458950866,310.36094999999995,26.262638821568803,-21.9373611784312,21.9373611784312
DDO154,5.43,47.4,16.28,6.55,0.0,10,0.053,0.37,71.26,0.275,1.0,26500000.0,36575000.00000001,63075000.00000001,0.5798652397938963,73328692.73572901,0.7250519123804935,28.437523349179653,12.82717277425419,0.42332009520435543,490715509.4178212,71.57979988435441,286.48965000000004,25.98399436907352,-21.416005630926477,21.416005630926477
DDO154,5.92,45.5,15.64,6.26,0.0,10,0.053,0.37,71.26,0.275,1.0,26500000.0,36575000.00000001,63075000.00000001,0.5798652397938963,73328692.73572901,0.7250519123804935,28.437523349179653,12.82717277425419,0.46152025112519046,546661797.4247241,67.08658210720559,264.20340000000004,25.71684207041481,-19.78315792958519,19.78315792958519
DDO161,0.6,16.0,6.82,12.59,0.0,10,0.548,1.22,169.37,1.378,1.9,274000000.0,183274000.0,457274000.0,0.40079689639034805,48896410.539776504,0.7019227931893244,41.63169592337408,49.097110531048195,0.012220678437289502,47440708.71147965,566.7728291785832,125.76644999999999,21.583098653973433,5.583098653973433,5.583098653973433
DDO161,0.73,16.6,8.12,14.22,0.0,10,0.548,1.22,169.37,1.378,1.9,274000000.0,183274000.0,457274000.0,0.40079689639034805,48896410.539776504,0.7019227931893244,41.63169592337408,49.097110531048195,0.014868492098702227,61883677.52691185,499.44854102509,167.03859999999997,23.057233896291976,6.457233896291974,6.457233896291974
DDO161,0.85,18.6,9.3,15.27,0.0,10,0.548,1.22,169.37,1.378,1.9,274000000.0,183274000.0,457274000.0,0.40079689639034805,48896410.539776504,0.7019227931893244,41.63169592337408,49.097110531048195,0.017312627786160127,76048505.51908074,452.7028067433489,203.07645000000002,24.24610970303992,5.646109703039919,5.646109703039919
DDO161,0.98,20.0,10.41,17.04,0.0,10,0.548,1.22,169.37,1.378,1.9,274000000.0,183274000.0,457274000.0,0.40079689639034805,48896410.539776504,0.7019227931893244,41.63169592337408,49.097110531048195,0.019960441447572853,92202353.4302428,412.9050644436335,253.54889999999997,25.655328163068987,5.655328163068987,5.655328163068987
DDO161,1.07,21.4,11.27,18.03,0.0,10,0.548,1.22,169.37,1.378,1.9,274000000.0,183274000.0,457274000.0,0.40079689639034805,48896410.539776504,0.7019227931893244,41.63169592337408,49.097110531048195,0.02179354321316628,103837863.50923267,390.07538260589905,289.55335,26.58823065546694,5.188230655466942,5.188230655466942
DDO161,1.54,28.9,15.22,22.44,0.0,10,0.548,1.22,169.37,1.378,1.9,274000000.0,183274000.0,457274000.0,0.40079689639034805,48896410.539776504,0.7019227931893244,41.63169592337408,49.097110531048195,0.031366407989043055,169810307.4853313,307.9519520858223,483.4252,30.946263202722335,2.0462632027223364,2.0462632027223364
DDO161,2.02,32.9,18.74,24.92,0.0,10,0.548,1.22,169.37,1.378,1.9,274000000.0,183274000.0,457274000.0,0.40079689639034805,48896410.539776504,0.7019227931893244,41.63169592337408,49.097110531048195,0.04114295073887466,244759001.82567847,257.9860892417603,661.6908,34.39218952419802,1.492189524198018,1.492189524198018
DDO161,2.49,35.2,21.52,25.85,0.0,10,0.548,1.22,169.37,1.378,1.9,274000000.0,183274000.0,457274000.0,0.40079689639034805,48896410.539776504,0.7019227931893244,41.63169592337408,49.097110531048195,0.05071581551475144,324235793.71331745,224.91717351970837,797.22165,36.84108320970047,1.6410832097004686,1.6410832097004686
DDO161,2.96,37.6,23.28,26.01,0.0,10,0.548,1.22,169.37,1.378,1.9,274000000.0,183274000.0,457274000.0,0.40079689639034805,48896410.539776504,0.7019227931893244,41.63169592337408,49.097110531048195,0.060288680290628206,408854313.2126809,200.6991421931555,880.2184500000001,38.39645700962187,0.7964570096218679,0.7964570096218679
DDO161,3.43,40.6,24.59,25.36,0.0,10,0.548,1.22,169.37,1.378,1.9,274000000.0,183274000.0,457274000.0,0.40079689639034805,48896410.539776504,0.7019227931893244,41.63169592337408,49.097110531048195,0.069861545066505,497973941.28067505,182.04499008010845,926.2329,39.37825816329072,-1.2217418367092847,1.2217418367092847
DDO161,3.9,42.7,25.62,25.01,0.0,10,0.548,1.22,169.37,1.378,1.9,274000000.0,183274000.0,457274000.0,0.40079689639034805,48896410.539776504,0.7019227931893244,41.63169592337408,49.097110531048195,0.07943440984238176,591101081.8541932,167.14480959615506,969.13445,40.26163443558898,-2.438365564411022,2.438365564411022
DDO161,4.37,45.5,26.35,24.48,0.0,10,0.548,1.22,169.37,1.378,1.9,274000000.0,183274000.0,457274000.0,0.40079689639034805,48896410.539776504,0.7019227931893244,41.63169592337408,49.097110531048195,0.08900727461825854,687841246.4825728,154.91222635136393,993.9577000000002,40.876938842768794,-4.623061157231206,4.623061157231206
DDO161,4.86,48.9,27.08,23.7,0.0,10,0.548,1.22,169.37,1.378,1.9,274000000.0,183274000.0,457274000.0,0.40079689639034805,48896410.539776504,0.7019227931893244,41.63169592337408,49.097110531048195,0.09898749534204497,792195694.0705127,144.25148531663567,1014.1714,41.41537901116986,-7.484620988830137,7.484620988830137
DDO161,5.34,51.5,27.81,22.69,0.0,10,0.548,1.22,169.37,1.378,1.9,274000000.0,183274000.0,457274000.0,0.40079689639034805,48896410.539776504,0.7019227931893244,41.63169592337408,49.097110531048195,0.10876403809187657,897591153.9982525,135.38059062908107,1030.81415,41.87775667295578,-9.622243327044217,9.622243327044217
DDO161,5.81,53.0,28.4,21.59,0.0,10,0.548,1.22,169.37,1.378,1.9,274000000.0,183274000.0,457274000.0,0.40079689639034805,48896410.539776504,0.7019227931893244,41.63169592337408,49.097110531048195,0.11833690286775334,1003593697.9821789,127.86921983252014,1039.62405,42.220187318709776,-10.779812681290224,10.779812681290224
DDO161,6.28,55.0,28.98,20.86,0.0,10,0.548,1.22,169.37,1.378,1.9,274000000.0,183274000.0,457274000.0,0.40079689639034805,48896410.539776504,0.7019227931893244,41.63169592337408,49.097110531048195,0.12790976764363013,1112169263.0880983,121.28635810043592,1057.4102,42.6507740711788,-12.349225928821198,12.349225928821198
DDO161,6.75,57.6,29.57,20.11,0.0,10,0.548,1.22,169.37,1.378,1.9,274000000.0,183274000.0,457274000.0,0.40079689639034805,48896410.539776504,0.7019227931893244,41.63169592337408,49.097110531048195,0.1374826324195069,1223143900.3629901,115.45968356675309,1076.59095,43.080666360626125,-14.519333639373876,14.519333639373876
DDO161,7.22,59.7,30.3,19.38,0.0,10,0.548,1.22,169.37,1.378,1.9,274000000.0,183274000.0,457274000.0,0.40079689639034805,48896410.539776504,0.7019227931893244,41.63169592337408,49.097110531048195,0.14705549719538366,1336363900.1244528,110.25814837371298,1105.8822,43.611306231964754,-16.08869376803525,16.08869376803525
DDO161,7.69,60.5,31.18,18.7,0.0,10,0.548,1.22,169.37,1.378,1.9,274000000.0,183274000.0,457274000.0,0.40079689639034805,48896410.539776504,0.7019227931893244,41.63169592337408,49.097110531048195,0.15662836197126045,1451692329.974911,105.58014578087484,1147.0374,44.260012664423485,-16.239987335576515,16.239987335576515
DDO161,8.16,61.8,32.06,18.06,0.0,10,0.548,1.22,169.37,1.378,1.9,274000000.0,183274000.0,457274000.0,0.40079689639034805,48896410.539776504,0.7019227931893244,41.63169592337408,49.097110531048195,0.16620122674713722,1569006344.4683948,101.34556235864156,1190.9254,44.92109959525162,-16.87890040474838,16.87890040474838
DDO161,8.64,62.9,32.64,17.47,0.0,10,0.548,1.22,169.37,1.378,1.9,274000000.0,183274000.0,457274000.0,0.40079689639034805,48896410.539776504,0.7019227931893244,41.63169592337408,49.097110531048195,0.17597776949696883,1690750603.3607056,97.41199118950524,1217.97005,45.38292249158625,-17.51707750841375,17.51707750841375
DDO161,9.11,63.0,33.23,16.94,0.0,10,0.548,1.22,169.37,1.378,1.9,274000000.0,183274000.0,457274000.0,0.40079689639034805,48896410.539776504,0.7019227931893244,41.63169592337408,49.097110531048195,0.1855506342728456,1811750107.2926354,93.89055288341865,1247.7146999999998,45.85910636687051,-17.140893633129487,17.140893633129487
DDO161,9.58,64.5,33.38,16.44,0.0,10,0.548,1.22,169.37,1.378,1.9,274000000.0,183274000.0,457274000.0,0.40079689639034805,48896410.539776504,0.7019227931893244,41.63169592337408,49.097110531048195,0.1951234990487224,1934430054.7397926,90.6530389809463,1249.3612,46.019749167476625,-18.480250832523375,18.480250832523375
