p,H0,omega_m_h2,omega_b_h2,omega_c_h2,theta_star,theta_err,theta_abs_err,theta_err_ppm,r_s_Mpc,D_M_Mpc,Omega_m0,Omega_b0,Omega_c0,Omega_r0,Omega_flux0,q0,z_acc,accepted_theta,accepted_omega_window,H0_distance_to_73,score
0.21399999999999997,73.0,0.14400000000000002,0.02237,0.12163000000000002,0.010413211166157395,1.116615739628346e-08,1.116615739628346e-08,1.072307974137005,143.26579669997435,13758.080424373187,0.2702195533871271,0.041977857008819675,0.22824169637830743,7.843873146931883e-05,0.7297020078814036,-0.6742532154383465,0.7671311663521829,True,True,0.0,0.29208426962214884
0.29599999999999993,73.0,0.14700000000000002,0.02237,0.12463000000000002,0.010413174955804398,-2.5044195601023334e-08,2.5044195601023334e-08,-2.4050431760672355,142.53208715199068,13687.668531156485,0.2758491274160256,0.041977857008819675,0.23387127040720593,7.843873146931883e-05,0.7240724338525052,-0.6956161580088374,0.7515067297664416,True,True,0.0,0.2116576178590882
0.26799999999999996,73.0,0.14600000000000002,0.02237,0.12363000000000002,0.010413090896292535,-1.0910370746436415e-07,1.0910370746436415e-07,-10.477442809545977,142.7751835703856,13711.1242946337,0.2739726027397261,0.041977857008819675,0.23199474573090642,7.843873146931883e-05,0.7259489585288046,-0.6883004264938144,0.7568469027187292,True,True,0.0,0.23721482074623432
0.16399999999999998,73.0,0.14200000000000002,0.02237,0.11963000000000001,0.010413049162026074,-1.5083797392546894e-07,1.5083797392546894e-07,-14.485266193434194,143.76241066097788,13805.9859724129,0.2664665040345281,0.041977857008819675,0.22448864702570845,7.843873146931883e-05,0.7334550572340026,-0.6614994665420362,0.7768857781406382,True,True,0.0,0.3518647760895266
0.14,73.0,0.14100000000000001,0.02237,0.11863000000000001,0.010413044455815293,-1.5554418470592468e-07,1.5554418470592468e-07,-14.93721283620066,144.01300907932153,13830.058028696467,0.26458997935822864,0.041977857008819675,0.22261212234940894,7.843873146931883e-05,0.735331581910302,-0.6554265279291585,0.781561963087315,True,True,0.0,0.3834744306929325
0.24,73.0,0.14500000000000002,0.02237,0.12263000000000002,0.010413385996585978,1.8599658597844015e-07,1.8599658597844015e-07,17.861616599934717,143.01974812730137,13734.221335326503,0.2720960780634266,0.041977857008819675,0.23011822105460694,7.843873146931883e-05,0.7278254832051041,-0.6809300930256104,0.7620600347998255,True,True,0.0,0.26408225609122116
0.188,73.0,0.14300000000000002,0.02237,0.12063000000000001,0.010413403742842787,2.0374284278798505e-07,2.0374284278798505e-07,19.565824414011548,143.51334541642902,13781.598117240663,0.2683430287108276,0.041977857008819675,0.22636517170200793,7.843873146931883e-05,0.7315785325577031,-0.6675256735036985,0.7720657854159555,True,True,0.0,0.32141114818036765
0.116,73.0,0.14,0.02237,0.11763000000000001,0.01041341288833735,2.128883373510304e-07,2.128883373510304e-07,20.444084176912998,144.26515758429798,13853.782533281648,0.26271345468192914,0.041977857008819675,0.22073559767310946,7.843873146931883e-05,0.7372081065866015,-0.6493068539269444,0.7860736020761974,True,True,0.0,0.4161535026543468
0.32599999999999996,73.0,0.14800000000000002,0.02237,0.12563000000000002,0.010412857776750425,-3.422232495737393e-07,3.422232495737393e-07,-32.864369221155776,142.29044324075957,13664.879161075472,0.2777256520923251,0.041977857008819675,0.2357477950835054,7.843873146931883e-05,0.7221959091762057,-0.7036174553333154,0.7460066350110797,True,True,0.0,0.1875677533199429
0.32399999999999995,73.0,0.14800000000000002,0.02237,0.12563000000000002,0.01041361384610547,4.1384610547159917e-07,4.1384610547159917e-07,39.742452413436716,142.29044324072595,13663.887037057779,0.2777256520923251,0.041977857008819675,0.2357477950835054,7.843873146931883e-05,0.7221959091762057,-0.7028772926255247,0.7460609253749201,True,True,0.0,0.18775724551746203
