Galaxy,MAE_v3o,MAE_v3q,T,f_gas,R_rem,D_spatial,Imp_v3q
UGC09133,41.908928409720644,19.2560012259629,2,0.0304705420211309,0.7756235663830954,0.8423684673004957,22.652927183757743
UGC09992,3.819021600248773,3.819021600248773,10,0.201118434192131,0.0,0.6766960068492851,0.0
UGC10310,19.21542463819656,12.030887895416688,9,0.1544997513520233,0.08455002486479768,0.7038199931778231,7.184536742779871
UGC11455,32.876548124960145,21.546993548032475,6,0.0093871393721492,0.3962451442511403,0.8824883038879031,11.32955457692767
UGC11557,13.509106630823164,28.32751097389622,8,0.054160840336003,0.1891678319327994,0.7611626762621487,-14.818404343073057
UGC11820,17.626107813665953,13.962419372919303,9,0.3515531305276754,0.06484468694723247,0.6703661107583825,3.6636884407466503
UGC11914,41.562961607717284,18.31420625872977,2,0.00157195118614,0.7987424390510881,0.9448795928193072,23.248755348987515
UGC12506,84.75957109693269,41.289469291379866,6,0.063463504419975,0.37461459823201004,0.791011902905667,43.47010180555282
UGC12632,22.47482265225428,15.888172244244176,9,0.2628494241046539,0.0737150575895346,0.6630367891510544,6.586650408010103
UGC12732,29.124561282412277,20.785172680232627,9,0.3686945193443815,0.06313054806556184,0.7070980679637159,8.33938860217965
UGCA281,6.599049329733747,6.599049329733747,11,0.078349771012675,0.0,0.5907241062497119,0.0
UGCA442,20.149348314731995,17.09848981720533,9,0.333199973327999,0.0666800026672001,0.6273066202020813,3.050858497526665
UGCA444,11.599199045075775,11.599199045075775,10,0.5976125008383072,0.0,0.5677025491264346,0.0
