Galaxy,RMSE_baryon,RMSE_flux,Y_amp,H_raw,D_norm,G_bound,L_chi,status,Y_max,slope,shift,RMSE_baryon_global,RMSE_flux_global
DDO154,22.680803776816237,11.040726456119975,5.999999999988766,0.0012758608584195327,0.002551722526502004,4.2613838889039067e-11,7.9361281373590895,ok,6.0,3.0,-9.0,45.928297151343585,23.167264748502696
NGC2403,37.895599436401874,17.775855280053232,5.999993843254991,-4.403426409720027,0.6931471805599453,0.5,28.60823902092979,ok,6.0,3.0,-9.0,45.928297151343585,23.167264748502696
NGC3198,37.60608265225926,17.52214927497276,4.2918806594014125,-8.692889315148973,1.4172924493681058,0.9896353199824237,66.42259651355926,ok,6.0,3.0,-9.0,45.928297151343585,23.167264748502696
UGC00128,65.11324314929104,43.507881030479716,5.883522475719578,-7.69259580257925,0.9449255066853189,0.8594798479917799,148.02068660841115,ok,6.0,3.0,-9.0,45.928297151343585,23.167264748502696
UGC02885,69.35716763455243,24.419541346753626,5.696243712040657,-8.02288781894691,2.9540505661581307,0.9999908528448394,252.0331342294769,ok,6.0,3.0,-9.0,45.928297151343585,23.167264748502696
