Galaxy,SPARC_name,match_key,ngc_id,ugc_id,ic_id,pgc_id,Mb_proxy_Msun,Mstar_proxy_Msun,Mgas_proxy_Msun,Rb_kpc,Sigma_b_Msun_kpc2,V_obs_kms,V_b_kms,morphology_age_gyr,Morphology_T,z0mgs_match_status,z0mgs_match_method,z0mgs_PGC,z0mgs_NGC,z0mgs_UGC,z0mgs_IC,z0mgs_Dist_Mpc,z0mgs_e_Dist_dex,z0mgs_logMstar,z0mgs_e_logMstar,z0mgs_GammaStar,z0mgs_method_GammaStar,z0mgs_logSFR,z0mgs_e_logSFR,z0mgs_method_logSFR,z0mgs_DelMS,z0mgs_Flags,z0mgs_Mstar_Msun,z0mgs_SFR_Msun_yr,z0mgs_sSFR_yr,final_Mstar_for_SFH_Msun,final_SFR_for_SFH_Msun_yr,final_sSFR_for_SFH_yr,SFH_source,source_sparc_proxy_file,source_z0mgs_catalog,source_z0mgs_url
F568-V1,F568-V1,F568-V1,,,,,5225530000.0,1912500000.0,3313030000.0000005,2.85,102390757.7439202,112.3,88.8020353652862,7.649999999999999,7.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,1912500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24
F571-8,F571-8,F571-8,,,,,7452060000.0,5082000000.0,2370060000.0,3.56,93582895.56380108,139.7,94.88407974139172,8.75,5.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,5082000000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24
F571-V1,F571-V1,F571-V1,,,,,2543110000.0,924500000.0,1618610000.0,2.47,66342429.36721301,83.6,66.54482289015262,7.649999999999999,7.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,924500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24
F574-1,F574-1,F574-1,,,,,7955420000.000001,3268500000.0,4686920000.000001,4.46,63652215.878668696,97.8,87.58793842700247,7.649999999999999,7.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,3268500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24
F579-V1,F579-V1,F579-V1,,,,,8909850000.0,5924000000.0,2985850000.0,3.37,124862125.20206426,112.1,106.63515958256365,8.75,5.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,5924000000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24
F583-1,F583-1,F583-1,,,,,3320580000.0,493000000.0,2827580000.0,2.36,94887733.57729208,85.8,77.7913215928968,6.55,9.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,493000000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24
IC2574,IC2574,IC2574,,,2574,,1885880000.0,508000000.0,1377880000.0000002,2.78,38836903.37950206,66.4,54.01505302714402,6.55,9.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,508000000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24
IC4202,IC4202,IC4202,,,4202,,106268080000.0,89874500000.0,16393580000.0,4.78,740230835.6333476,242.6,309.2200499978445,9.3,4.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,89874500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24
KK98-251,KK98-251,KK98-251,,,,,195450000.0,42500000.0,152950000.0,1.34,17323921.601309277,33.7,25.046417497870067,6.0,10.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,42500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24
NGC0024,NGC0024,NGC0024,24,,,,2843580000.0,1944500000.0,899080000.0000001,1.34,252043780.95191115,106.3,95.53455910524126,8.75,5.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,1944500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24
