fold,n_train,n_test,rmse_baryon,rmse_direct_positive,rmse_one_term_negative_gate,rmse_two_term_constrained,A_direct,A_gate,A_D,A_S,beats_baryon,expected_signs,accumulation_active,saturation_active
1,108,27,0.5078110080350713,0.5078110080350713,0.4495912659701591,0.4513735658291706,0.0,-8.293963080394626,0.9044408809046754,-10.428071322025014,True,True,True,True
2,108,27,0.4299035402711922,0.4299035402711922,0.3409285834990833,0.3403426739221573,0.0,-8.377842493207151,0.3119995119277254,-9.055713846460879,True,True,True,True
3,108,27,0.5830373173369272,0.5830373173369272,0.5409732851033809,0.5412590833672173,0.0,-8.4099811389643,0.6293085621746092,-9.892018525576658,True,True,True,True
4,108,27,0.9520679097480019,0.9520679097480019,0.9337185368612532,0.9336776946105222,0.0,-8.45019912587104,0.47698704899183664,-9.573890033247043,True,True,True,True
5,108,27,0.5416208265905709,0.5416208265905709,0.41217536706810187,0.41217536706810187,0.0,-7.698811097160793,0.0,-7.698811097160793,True,True,False,True
