Galaxy,SPARC_name,match_key,ngc_id,ugc_id,ic_id,pgc_id,Mb_proxy_Msun,Mstar_proxy_Msun,Mgas_proxy_Msun,Rb_kpc,Sigma_b_Msun_kpc2,V_obs_kms,V_b_kms,morphology_age_gyr,Morphology_T,z0mgs_match_status,z0mgs_match_method,z0mgs_PGC,z0mgs_NGC,z0mgs_UGC,z0mgs_IC,z0mgs_Dist_Mpc,z0mgs_e_Dist_dex,z0mgs_logMstar,z0mgs_e_logMstar,z0mgs_GammaStar,z0mgs_method_GammaStar,z0mgs_logSFR,z0mgs_e_logSFR,z0mgs_method_logSFR,z0mgs_DelMS,z0mgs_Flags,z0mgs_Mstar_Msun,z0mgs_SFR_Msun_yr,z0mgs_sSFR_yr,final_Mstar_for_SFH_Msun,final_SFR_for_SFH_Msun_yr,final_sSFR_for_SFH_yr,SFH_source,source_sparc_proxy_file,source_z0mgs_catalog,source_z0mgs_url,Mstar,Mgas,Mb,Rb,Sigma_b,V_obs,V_b,age_gyr,Mgas_safe,f_gas,D_hist_sfh,D_hist_source
IC2574,IC2574,IC2574,,,2574.0,,1885880000.0,508000000.0,1377880000.0000002,2.78,38836903.37950206,66.4,54.01505302714402,6.55,9.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,508000000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,508000000.0,1377880000.0000002,1885880000.0,2.78,38836903.37950206,66.4,54.01505302714402,6.55,1377880000.0000002,0.7306297325386557,46890738.3035973,Delayed_Tau_Fallback
IC4202,IC4202,IC4202,,,4202.0,,106268080000.0,89874500000.0,16393580000.0,4.78,740230835.6333476,242.6,309.2200499978445,9.3,4.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,89874500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,89874500000.0,16393580000.0,106268080000.0,4.78,740230835.6333476,242.6,309.2200499978445,9.3,16393580000.0,0.15426626697311177,7107701327.033984,Delayed_Tau_Fallback
KK98-251,KK98-251,KK98-251,,,,,195450000.0,42500000.0,152950000.0,1.34,17323921.601309277,33.7,25.046417497870067,6.0,10.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,42500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,42500000.0,152950000.0,195450000.0,1.34,17323921.601309277,33.7,25.046417497870067,6.0,152950000.0,0.7825530826298286,3939909.1522881673,Delayed_Tau_Fallback
NGC0024,NGC0024,NGC0024,24.0,,,,2843580000.0,1944500000.0,899080000.0000001,1.34,252043780.95191115,106.3,95.53455910524126,8.75,5.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,1944500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,1944500000.0,899080000.0000001,2843580000.0,1.34,252043780.95191115,106.3,95.53455910524126,8.75,899080000.0000001,0.3161789012442063,166962676.83652014,Delayed_Tau_Fallback
NGC0055,NGC0055,NGC0055,55.0,,,,4395450000.0,2314000000.0,2081450000.0,6.11,18738768.90432821,85.6,55.62387549682614,6.55,9.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,2314000000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,2314000000.0,2081450000.0,4395450000.0,6.11,18738768.90432821,85.6,55.62387549682614,6.55,2081450000.0,0.4735465083211048,206682411.0887343,Delayed_Tau_Fallback
NGC0100,NGC0100,NGC0100,100.0,,,,4262700000.0,1616000000.0,2646700000.0,1.66,246200383.18980345,88.1,105.09172429960915,8.2,6.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,1616000000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,1616000000.0,2646700000.0,4262700000.0,1.66,246200383.18980345,88.1,105.09172429960915,8.2,2646700000.0,0.620897553193985,147506093.04211432,Delayed_Tau_Fallback
NGC0247,NGC0247,NGC0247,247.0,,,,5988180000.0,3666000000.0,2322180000.0,3.74,68135237.43344289,104.9,82.98350980412773,7.649999999999999,7.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,3666000000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,3666000000.0,2322180000.0,5988180000.0,3.74,68135237.43344289,104.9,82.98350980412773,7.649999999999999,2322180000.0,0.3877939540895564,321436340.56111765,Delayed_Tau_Fallback
NGC0289,NGC0289,NGC0289,289.0,,,,72566270000.0,36032500000.0,36533770000.0,6.74,254234883.02796343,163.0,215.18779194469337,9.3,4.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,36032500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,36032500000.0,36533770000.0,72566270000.0,6.74,254234883.02796343,163.0,215.18779194469337,9.3,36533770000.0,0.503453877400616,3235307320.4555755,Delayed_Tau_Fallback
NGC0300,NGC0300,NGC0300,300.0,,,,2705880000.0,1461000000.0,1244880000.0000002,1.75,140621772.21665233,93.3,81.54839527474292,7.649999999999999,7.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,1461000000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,1461000000.0,1244880000.0000002,2705880000.0,1.75,140621772.21665233,93.3,81.54839527474292,7.649999999999999,1244880000.0000002,0.46006474788238955,130162055.80945833,Delayed_Tau_Fallback
NGC0801,NGC0801,NGC0801,801.0,,,,187142330000.0,156285000000.0,30857330000.0,8.72,391705071.1381972,220.1,303.8141178071445,8.75,5.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,156285000000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,156285000000.0,30857330000.0,187142330000.0,8.72,391705071.1381972,220.1,303.8141178071445,8.75,30857330000.0,0.1648869606357899,12454707814.70518,Delayed_Tau_Fallback
