PGC,NGC,UGC,IC,ra,dec,Dist,logMstar,logSFR,GammaStar,PGC_NAME
696,,,,2.46644092,4.67488527,59.3198471,10.2456789,-1.79084706,0.5,PGC696
698,,,,2.47216654,25.9235992,62.0583115,10.8769846,1.0595845,0.2698526079999999,PGC698
701,,,,2.48476958,-24.9637699,5.26999998,8.95340919,-1.51850235,0.436844349,PGC701
714,,,,2.52827263,-6.32122707,55.1823044,8.92039967,-0.734836936,0.232973635,PGC714
726,,,,2.56949997,30.8495274,73.6206512,10.2360106,0.085919112,0.3515425919999999,PGC726
732,,,,2.6077919,25.8317776,68.2338104,10.4006176,0.233909115,0.355809301,PGC732
757,,,,2.66968346,13.7094431,23.0,8.791431429999998,-1.16345465,0.238036394,PGC757
759,,,,2.67029095,32.9831123,71.219696,10.4257097,0.277722776,0.351003289,PGC759
767,,,,2.69533348,33.3528328,73.0466385,10.5387545,0.36126563,0.3585858639999999,PGC767
781,,,,2.77729201,-12.1076918,84.41122439999998,10.5647602,1.59926116,0.1999999879999999,PGC781
798,,,,2.84295893,6.38922215,87.4177933,11.067421,0.505761027,0.461542875,PGC798
800,,,,2.85350394,-41.3982353,23.8999996,8.33999157,-1.25858939,0.220609099,PGC800
803,,,,2.86187863,-63.1282158,53.4072342,8.93615246,-0.4791482089999999,0.1999999879999999,PGC803
809,,,,2.90330839,-36.9363213,25.3279591,8.273633959999998,-1.48206091,0.1999999879999999,PGC809
830,,,,3.00541663,26.393055,67.0501556,9.60809898,-0.453699499,0.329151213,PGC830
852,,,,3.07854152,31.0610828,72.4102173,10.425168,0.160603985,0.381255597,PGC852
869,,,,3.22712541,33.3614159,71.219696,10.0377436,-0.0639078542999999,0.339198798,PGC869
874,,,,3.25324345,39.2459068,74.81687929999998,9.92588139,-0.2164514509999999,0.3495560879999999,PGC874
875,,,,3.25313997,30.9152699,71.219696,10.9797459,-1.58487403,0.5,PGC875
878,,,,3.26266503,14.4095259,25.7999992,8.99652767,-0.838303864,0.273940772,PGC878
889,,,,3.32302642,17.0295162,13.6999998,7.97948837,-1.54344332,0.204549789,PGC889
912,,,,3.48541641,26.9675007,69.4384384,9.03780746,-0.454814881,0.1999999879999999,PGC912
913,,,,3.46214104,35.9942703,67.639473,9.72616291,-0.4460430739999999,0.357224345,PGC913
921,,,,3.48719406,30.8829556,71.219696,10.5345745,-1.19387507,0.5,PGC921
924,,,,3.50320792,12.9638615,20.3199997,8.78017998,-1.36172688,0.349447161,PGC924
926,,,,3.49579215,-70.0226669,56.9639359,9.83174229,-0.182877868,0.3173868659999999,PGC926
929,,,,3.50920796,48.2348595,25.0,9.64041615,-0.716712236,0.405804396,PGC929
930,,,,3.51654148,-23.1818333,6.61000013,9.41058064,-0.782698333,0.362665057,PGC930
938,,,,3.54160357,-83.05874629999998,62.8926926,9.70846939,-0.194718301,0.290189713,PGC938
952,,,,3.59345841,48.2465286,71.8124466,10.5679007,-1.17988992,0.5,PGC952
963,,,,3.63276315,-0.737610221,49.0455856,9.76989269,-0.0283309090999999,0.265382171,PGC963
965,,,,2.69527483,88.3348007,32.8851433,9.15271854,-1.32284629,0.369785309,PGC965
967,,,,3.62801838,-7.16719913,81.9974289,10.8679991,0.556804061,0.393566519,PGC967
982,,,,3.67842913,-60.3284416,62.8926926,10.652914,-0.102598406,0.5,PGC982
983,,,,3.6858089,-7.34514141,80.2047424,11.4225798,-0.3470021779999999,0.5,PGC983
1001,,,,3.76189208,-43.2923088,44.5861015,9.21449661,-1.46152103,0.4255614879999999,PGC1001
1007,,,,3.78179979,60.608799,68.8335266,10.396966,1.52628183,0.1999999879999999,PGC1007
1014,,,,3.72336745,-39.1965828,2.1099999,9.38773918,-0.89712882,0.386601686,PGC1014
1034,,,,3.85470009,-21.4444599,4.9000001,8.367069239999998,-2.10459757,0.436777562,PGC1034
1051,,,,3.96284723,16.0895252,61.1223526,10.131196,0.4209603069999999,0.1999999879999999,PGC1051
1089,,,,4.11898327,29.9240284,72.4102173,9.62584496,-0.5715047119999999,0.363718837,PGC1089
1099,,,,4.17045021,47.9216003,66.4660492,9.70699787,-1.01053834,0.4374015929999999,PGC1099
1106,,,,4.18414354,7.0760355,57.5439606,10.4033117,0.398374379,0.249727517,PGC1106
1107,,,,4.20082045,12.349514,14.0,8.517889979999998,-1.62627566,0.3500250879999999,PGC1107
1109,,,,4.21192217,-5.26834822,56.3638191,10.0753956,0.4647597969999999,0.2232162209999999,PGC1109
1114,,,,4.2341671,27.8897228,66.4660492,10.1505394,-0.217385948,0.4086967109999999,PGC1114
1130,,,,4.29255152,-19.3014565,43.6500015,10.1388712,0.0784968956999999,0.328794003,PGC1130
1154,,,,4.39949989,30.2049713,71.8124466,10.0887232,-0.232310772,0.396178752,PGC1154
1160,,,,4.43966722,11.4503336,18.7000008,9.72564125,-0.333320826,0.328439862,PGC1160
1180,,,,4.55046463,13.1922731,60.5062561,10.1454268,0.219460562,0.2956795389999999,PGC1180
1209,,,,4.6542573,-35.9394188,54.0007668,9.20834351,-0.3993728759999999,0.222583637,PGC1209
