model,predictors,N,k,RMSE,R2,AIC,BIC
intercept,intercept_only,100,1,0.30822211649692105,0.0,-233.3869196920233,-230.7817495060352
G_sat,G_sat,100,2,0.30340762779372366,0.030996394016232554,-234.5356142673051,-229.32527389532893
mass_only,logMstar,100,2,0.30762321817614957,0.0038823720747364066,-231.77591249644968,-226.5655721244735
mass_step_10,mass_step_10,100,2,0.3079053065840041,0.002054668224479972,-231.59259788713035,-226.38225751515418
logD_hybrid,logD_hybrid_raw,100,2,0.30820783503555943,9.266778554628541e-05,-231.39618689997042,-226.18584652799424
capacity_state,"G_absorb,G_sat,G_overflow",100,4,0.3024729080306525,0.036957691975167406,-231.1527131502491,-220.73203240629672
capacity_controls,"G_sat,G_overflow,logsSFR,metallicity",3,5,,,,
kitchen_sink,"logMstar,Reff_kpc,stellar_age_Gyr,sigma_eff,logsSFR,metallicity",3,7,,,,
