Filter,N,filling_H0,saturated_H0,overflowing_H0
A: All 50 Active,50,68.8709760419686,64.47610499542705,63.61907757834721
B: Outlier Clipped,48,65.5363681594629,64.47610499542705,64.54689138104149
C: High Confidence,14,70.79988283799574,64.61381626027999,65.22261157656291
D: Calibrators,33,61.2824070764177,62.890411447114076,62.675873294339986
E: Hubble-flow,17,74.29138244593352,70.29031467257458,65.90971655379332
