CID,IDSURVEY,zHD,zHDERR,zCMB,zCMBERR,zHEL,zHELERR,m_b_corr,m_b_corr_err_DIAG,MU_SH0ES,MU_SH0ES_ERR_DIAG,CEPH_DIST,IS_CALIBRATOR,USED_IN_SH0ES_HF,c,cERR,x1,x1ERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,RA,DEC,HOST_RA,HOST_DEC,HOST_ANGSEP,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,PKMJD,PKMJDERR,NDOF,FITCHI2,FITPROB,m_b_corr_err_RAW,m_b_corr_err_VPEC,biasCor_m_b,biasCorErr_m_b,biasCor_m_b_COVSCALE,biasCor_m_b_COVADD,SNID,logMstar,z_use,mu_obs,mu_lcdm_67p4,mu_resid_67p4,mu_resid_centered,H0_proxy_centered,host_name,Reff_kpc,stellar_age_Gyr,sigma_v_km_s,logsSFR,metallicity,morphology,notes,D_reg,logD_reg,F_fill,G_sat,G_overflow,G_absorb,H0_proxy,well_regime,mass_high_10,mass_bin
2013dy,51,0.00432,0.00084,0.00293,0.00012,0.00394,0.00012,12.246,0.513549,31.499,0.514259,31.6272,1,0,0.073845,0.025997,0.87178,0.02388,12.4377,0.081236,0.19007,0.0142214,-0.000232882,0.000107456,-0.000316314,334.573,40.5693,-999,-999,-9.0,-413.1,250,0.13193,9.131,0.002,56501.4,0.0283,180,297.453,8.31936e-08,0.0439,0.4231,0.0396,0.016,1.0,0.03,2013dy,9.131,0.00432,31.499,31.425469657484896,0.0735303425151023,0.2536771044051296,59.96867809168644,NGC 7250,1.8,2.0,40.0,-9.4,8.5,spiral/Sdm,Late-type star-forming dwarf-like host.,0.062269480546293075,-1.205724757159915,0.05414737438808094,1.3647145342165338e-09,0.0,0.9999999986352854,59.968678091686435,filling/absorbing,0.0,"(8.5, 9.5]"
2013dy,56,0.00432,0.00084,0.00293,0.00012,0.00394,0.00012,12.3081,0.530151,31.5611,0.530838,31.6272,1,0,0.068782,0.046197,1.17027,0.13726,12.4484,0.0938242,0.18821,0.0162642,0.000730534,-0.000231517,-0.000543144,334.573,40.5693,-999,-999,-9.0,-413.1,250,0.13193,9.131,0.004,56501.5,0.0911,36,52.8999,0.0343241,0.0998,0.4231,0.0479,0.018,1.0,0.029,2013dy,9.131,0.00432,31.5611,31.425469657484896,0.1356303425151033,0.3157771044051305,58.27797806460769,NGC 7250,1.8,2.0,40.0,-9.4,8.5,spiral/Sdm,Late-type star-forming dwarf-like host.,0.062269480546293075,-1.205724757159915,0.05414737438808094,1.3647145342165338e-09,0.0,0.9999999986352854,58.27797806460769,filling/absorbing,0.0,"(8.5, 9.5]"
2012ht,56,0.00465,0.00084,0.00465,2e-05,0.00352,2e-05,12.6779,0.441191,31.9309,0.442017,31.9348,1,0,-0.06558,0.040908,-1.27917,0.11291,12.751,0.0379431,0.14243,0.0049775,-0.000174447,-8.50274e-05,-0.000158175,163.345,16.7764,-999,-999,-9.0,-0.2973,250,0.0251619,9.53,-9.0,56295.8,0.0986,35,27.375,0.81757,0.103,0.3932,0.0348,0.006,1.0,0.007,2012ht,9.53,0.00465,31.9309,31.585867368187436,0.3450326318125682,0.5251793937025955,52.92050962491455,NGC 3447,3.0,2.5,50.0,-10.0,8.7,late barred spiral / interacting pair,Child/Teen transition; irregular kinematics.,0.11930836496332546,-0.9233291059519807,0.1037464043159352,1.293633696959863e-07,0.0,0.9999998706366303,52.92050962491455,filling/absorbing,0.0,"(9.5, 10.0]"
2012ht,5,0.00465,0.00084,0.00465,2e-05,0.00352,2e-05,12.78,0.419535,32.033,0.420403,31.9348,1,0,-0.128403,0.022952,-1.16357,0.039407,12.6928,0.0284379,0.15027,0.0039359,-0.000139729,-7.1606e-06,-7.03068e-05,163.345,16.7764,-999,-999,-9.0,-0.2973,250,0.0251619,9.53,-9.0,56296.2,0.0483,167,67.749,1.0,0.0537,0.3932,0.0858,0.011,1.0,0.005,2012ht,9.53,0.00465,32.033,31.585867368187436,0.4471326318125683,0.6272793937025956,50.48984271536466,NGC 3447,3.0,2.5,50.0,-10.0,8.7,late barred spiral / interacting pair,Child/Teen transition; irregular kinematics.,0.11930836496332546,-0.9233291059519807,0.1037464043159352,1.293633696959863e-07,0.0,0.9999998706366303,50.48984271536466,filling/absorbing,0.0,"(9.5, 10.0]"
2012fr,56,0.00483,0.00085,0.0046,0.00015,0.00492,0.00015,11.8801,0.446066,31.1331,0.446882,31.3773,1,0,0.047577,0.041982,1.49515,0.133,11.7919,0.039793,0.34454,0.0126276,0.000876092,-0.000644193,-0.000439198,53.4,-36.1271,-999,-999,-9.0,-67.5086,250,0.0175479,10.732,0.0,56244.2,0.1,31,33.5725,0.34373,0.1003,0.3831,-0.0671,0.006,1.0,0.011,2012fr,10.732,0.00483,31.1331,31.668639060631342,-0.5355390606313435,-0.3553922987413163,79.38498303051456,NGC 1365,10.8,6.5,150.0,-10.0,8.7,massive barred spiral/Fornax,Massive barred Fornax spiral; complex radial age/kinematic structure. Global Reff includes large disk.,1.95710554023032,0.29161424635485605,1.7018309045481044,0.9763840280403302,0.40265838618545136,0.0236159719596698,79.38498303051456,overflowing,1.0,"(10.5, 11.0]"
2012fr,5,0.00483,0.00085,0.0046,0.00015,0.00492,0.00015,11.9704,0.409689,31.2234,0.410577,31.3773,1,0,-0.036256,0.020595,1.1575,0.035649,11.711,0.0239548,0.3712,0.00818995,-0.000210546,2.96338e-05,-0.000140915,53.4,-36.1271,-999,-999,-9.0,-67.5086,250,0.0175479,10.732,-9.0,56244.5,0.0277,280,329.612,0.0221169,0.0477,0.3831,-0.029,0.002,1.0,0.004,2012fr,10.732,0.00483,31.2234,31.668639060631342,-0.4452390606313408,-0.2650922987413135,76.15148140962424,NGC 1365,10.8,6.5,150.0,-10.0,8.7,massive barred spiral/Fornax,Massive barred Fornax spiral; complex radial age/kinematic structure. Global Reff includes large disk.,1.95710554023032,0.29161424635485605,1.7018309045481044,0.9763840280403302,0.40265838618545136,0.0236159719596698,76.15148140962424,overflowing,1.0,"(10.5, 11.0]"
2015F,56,0.00488,0.00084,0.00515,2e-05,0.00476,2e-05,12.1943,0.44745,31.4473,0.448264,31.4489,1,0,0.04414,0.05381,-1.16422,0.11969,12.4955,0.12098,0.18022,0.0200815,0.000509497,-0.000245833,-0.000779791,114.066,-69.5064,-999,-999,-9.0,80.5777,250,0.17476,12.198,0.0,57106.8,0.0956,22,21.8985,0.46596,0.1164,0.3747,-0.0595,0.003,1.0,0.011,2015F,12.198,0.00488,31.4473,31.691086059112585,-0.2437860591125868,-0.0636392972225596,69.40452015727118,,2.5,8.0,150.0,-10.0,8.7,early/compact,Forensic Adult (Saturated),27.072773517878005,1.4325327501114007,23.541542189459136,0.9999999997504511,0.9575218990507354,2.4954893707018755e-10,69.40452015727118,overflowing,1.0,"(11.0, 13.0]"
2015F,5,0.00488,0.00084,0.00515,2e-05,0.00476,2e-05,12.286,0.406132,31.539,0.407028,31.4489,1,0,-0.068708,0.033308,-0.994481,0.029597,12.2751,0.10716,0.22079,0.0217916,-0.000298015,0.000165194,-0.000591588,114.066,-69.5064,-999,-999,-9.0,80.5777,250,0.17476,12.198,-9.0,57107.3,0.0301,152,96.9048,0.99985,0.0644,0.3747,0.0024,0.002,1.0,0.003,2015F,12.198,0.00488,31.539,31.691086059112585,-0.1520860591125838,0.0280607027774433,66.53463151287133,,2.5,8.0,150.0,-10.0,8.7,early/compact,Forensic Adult (Saturated),27.072773517878005,1.4325327501114007,23.541542189459136,0.9999999997504511,0.9575218990507354,2.4954893707018755e-10,66.53463151287134,overflowing,1.0,"(11.0, 13.0]"
2007sr,57,0.00571,0.00084,0.0066,2e-05,0.00542,2e-05,12.4269,0.374942,31.6799,0.375913,31.6025,1,0,0.017138,0.027385,0.10543,0.051014,12.4637,0.0433819,0.18557,0.00741456,-0.000359835,9.80451e-05,-0.000164935,180.47,-18.9728,-999,-999,-9.0,265.999,250,0.0404781,10.682,-9.0,54448.9,0.2466,31,95.9136,1.48359e-08,0.0574,0.3204,-0.053,0.002,1.0,0.008,2007sr,10.682,0.00571,31.6799,32.03355338991449,-0.3536533899144878,-0.1735066280244605,73.00644850728239,NGC 4038,4.0,1.0,140.0,-10.0,8.7,interacting/merger Antennae,Extreme Child; merger/high-flux absorption.,0.43593280144102475,-0.36058045158594854,0.379072001253065,0.001123475905348445,0.0,0.9988765240946516,73.00644850728239,filling/absorbing,1.0,"(10.5, 11.0]"
2007sr,64,0.00571,0.00084,0.0066,2e-05,0.00542,2e-05,12.3762,0.38481,31.6292,0.385756,31.6025,1,0,0.046871,0.026685,0.056985,0.042095,12.4987,0.0411252,0.17969,0.00680642,-0.000171077,2.80289e-05,-0.000142504,180.47,-18.9728,-999,-999,-9.0,265.999,250,0.0404781,10.682,2.755,54449.2,0.1643,63,69.474,0.2686,0.0576,0.3204,-0.0665,0.003,1.0,0.011,2007sr,10.682,0.00571,31.6292,32.03355338991449,-0.4043533899144869,-0.2242066280244596,74.73107371818864,NGC 4038,4.0,1.0,140.0,-10.0,8.7,interacting/merger Antennae,Extreme Child; merger/high-flux absorption.,0.43593280144102475,-0.36058045158594854,0.379072001253065,0.001123475905348445,0.0,0.9988765240946516,74.73107371818864,filling/absorbing,1.0,"(10.5, 11.0]"
