CID,IDSURVEY,zHD,zHDERR,zCMB,zCMBERR,zHEL,zHELERR,m_b_corr,m_b_corr_err_DIAG,MU_SH0ES,MU_SH0ES_ERR_DIAG,CEPH_DIST,IS_CALIBRATOR,USED_IN_SH0ES_HF,c,cERR,x1,x1ERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,RA,DEC,HOST_RA,HOST_DEC,HOST_ANGSEP,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,PKMJD,PKMJDERR,NDOF,FITCHI2,FITPROB,m_b_corr_err_RAW,m_b_corr_err_VPEC,biasCor_m_b,biasCorErr_m_b,biasCor_m_b_COVSCALE,biasCor_m_b_COVADD,SNID,logMstar,z_use,mu_obs,mu_lcdm_67p4,mu_resid_67p4,mu_resid_centered,H0_proxy_centered,host_name,Reff_kpc,stellar_age_Gyr,sigma_v_km_s,logsSFR,metallicity,morphology,notes,D_reg,logD_reg,F_fill,G_sat,G_overflow,G_absorb,well_regime
2021hpr,57,0.01044,0.00084,0.00958,2e-05,0.00938,2e-05,13.8339,0.342855,33.0869,0.343916,33.0131,1,0,0.045569,0.026775,0.24592,0.072475,14.0289,0.0336583,0.0438971,0.00136083,0.000274672,-2.23525e-05,-3.17819e-05,154.161,73.4005,-999,-999,-9.0,-255.903,250,0.0209058,6.952,0.132,59322.8,0.0564,92,179.821,1.22635e-07,0.0562,0.1756,0.038,0.006,1.0,0.023,2021hpr,6.952,0.01044,33.0869,33.351740964246424,-0.2648409642464244,-0.0846942023563972,70.08074935906738,,8.0,2.0,150.0,-10.0,8.7,late/diffuse,Forensic Child (Absorbing),0.009013589380187063,-2.0451022303765147,0.007837903808858316,1.8171865131270964e-15,0.0,0.9999999999999982,filling/absorbing
1997bq,62,0.01079,0.00084,0.00993,2e-05,0.00973,2e-05,13.8153,0.322889,33.0683,0.324016,33.0131,1,0,0.085938,0.027668,-0.609001,0.086077,14.1473,0.0368439,0.0393623,0.00133574,0.000408564,-4.45819e-05,-3.0152e-05,154.272,73.3839,-999,-999,-9.0,-255.903,250,0.0215171,12.588,-9.0,50558.5,0.0412,32,201.695,1.62202e-26,0.0607,0.17,-0.076,0.004,1.0,0.016,1997bq,12.588,0.01079,33.0683,33.42392553938588,-0.3556255393858762,-0.175478777495849,73.07278369521848,,2.5,8.0,150.0,-10.0,8.7,early/compact,Forensic Adult (Saturated),42.41629687993087,1.6275327501114,36.88373641733119,0.9999999999892315,0.9728877793434039,1.0768497205049243e-11,overflowing
2004bk,57,0.02352,0.00085,0.02405,1e-05,0.02306,1e-05,15.5861,0.214185,34.8391,0.21588,-9.0,0,1,-0.022127,0.026292,0.47024,0.0686,15.5119,0.0354353,0.0112004,0.000365548,-0.000187288,2.07298e-07,-7.26099e-06,204.37,4.1031,-999,-999,-9.0,155.85,250,0.0218071,7.0,-9.0,53113.5,0.2801,41,38.9738,0.56101,0.0615,0.0794,0.0112,0.002,1.0,0.009,2004bk,7.0,0.02352,34.8391,35.136893097995554,-0.2977930979955516,-0.1176463361055244,71.15233613012154,,8.0,2.0,150.0,-10.0,8.7,late/diffuse,Forensic Child (Absorbing),0.009525719077843976,-2.0211022303765147,0.008283233980733893,2.6754664225291416e-15,0.0,0.9999999999999973,filling/absorbing
2003gn,57,0.03375,0.00086,0.03316,2e-05,0.03438,2e-05,16.7699,0.241513,36.0229,0.243018,-9.0,0,1,0.048082,0.025656,-1.09542,0.10076,17.1435,0.0390999,0.0024922,8.97501e-05,0.000264846,-1.34194e-06,-1.81706e-06,338.465,20.8024,-999,-999,-9.0,-170.66,250,0.0427439,7.0,-9.0,52853.1,0.0684,46,87.6453,0.000209175,0.0555,0.0563,0.011,0.007,1.0,0.021,2003gn,7.0,0.03375,36.0229,35.93758130712672,0.0853186928732796,0.2654654547633068,59.64400604915595,,8.0,2.0,150.0,-10.0,8.7,late/diffuse,Forensic Child (Absorbing),0.009525719077843976,-2.0211022303765147,0.008283233980733893,2.6754664225291416e-15,0.0,0.9999999999999973,filling/absorbing
2008dr,57,0.04014,0.00087,0.03996,1e-05,0.04119,1e-05,17.031,0.145415,36.284,0.147901,-9.0,0,1,-0.001615,0.021237,-1.38746,0.082156,17.2345,0.0321758,0.00229182,6.79183e-05,-9.7201e-05,2.74504e-08,-1.12835e-06,332.715,2.1082,-999,-999,-9.0,-51.0533,250,0.036936,11.3888,-9.0,54649.5,0.1443,50,41.1414,0.80965,0.0477,0.048,-0.0485,0.001,1.0,0.005,2008dr,11.3888,0.04014,36.284,36.32428512350255,-0.0402851235025494,0.1398616383874778,63.19570583475025,,2.5,8.0,150.0,-10.0,8.7,early/compact,Forensic Adult (Saturated),10.664309731105313,1.0279327501114004,9.273312809656794,0.9999998304274472,0.892163520906421,1.6957255277727512e-07,overflowing
AT2016cvv,150,0.04438,0.00096,0.04404,0.0004,0.04457,0.0004,17.2939,0.229619,36.5469,0.231201,-9.0,0,1,0.054703,0.043587,1.47222,0.33066,17.2196,0.0741287,0.00232353,0.000158639,-0.00449484,1.08624e-05,-5.56977e-06,290.12,54.2087,-999,-999,-9.0,-97.4435,250,0.0886039,11.4594,0.034,57558.1,0.7166,9,24.2621,0.00390558,0.112,0.048,-0.0786,0.002,1.0,0.01,AT2016cvv,11.4594,0.04438,36.5469,36.54904142392225,-0.0021414239222465,0.1780053379677806,62.095314200418805,,2.5,8.0,150.0,-10.0,8.7,early/compact,Forensic Adult (Saturated),11.567319999423765,1.0632327501114007,10.05853912993371,0.9999999040034578,0.9005818979604622,9.599654215985964e-08,overflowing
2005hc,64,0.04575,0.00087,0.04496,2e-05,0.04592,2e-05,17.2104,0.171419,36.4634,0.173532,-9.0,0,1,-0.026552,0.027774,0.42521,0.11499,17.1229,0.0342991,0.00253993,8.02382e-05,-0.000112077,-5.0524e-07,-1.81734e-06,29.1998,-0.2137,-999,-999,-9.0,-228.691,250,0.0281406,7.0,0.161,53668.3,0.136,54,75.9344,0.0261784,0.0649,0.0422,0.005,0.004,1.0,0.008,2005hc,7.0,0.04575,36.4634,36.617218627772296,-0.1538186277722957,0.0263281341177315,66.5877391724735,,8.0,2.0,150.0,-10.0,8.7,late/diffuse,Forensic Child (Absorbing),0.009525719077843976,-2.0211022303765147,0.008283233980733893,2.6754664225291416e-15,0.0,0.9999999999999973,filling/absorbing
2005hc,5,0.04575,0.00087,0.04496,2e-05,0.04592,2e-05,17.2609,0.149515,36.5139,0.151933,-9.0,0,1,-0.058108,0.022165,0.7928,0.038244,17.0338,0.0272435,0.00275724,6.91851e-05,-0.00018788,3.18462e-07,-1.11702e-06,29.1998,-0.2137,-999,-999,-9.0,-228.691,250,0.0281406,7.0,0.14,53668.2,0.0543,60,56.1364,0.61765,0.0538,0.0422,0.0172,0.004,1.0,0.006,2005hc,7.0,0.04575,36.5139,36.617218627772296,-0.1033186277722961,0.076828134117731,65.05703551785936,,8.0,2.0,150.0,-10.0,8.7,late/diffuse,Forensic Child (Absorbing),0.009525719077843976,-2.0211022303765147,0.008283233980733893,2.6754664225291416e-15,0.0,0.9999999999999973,filling/absorbing
2006ot,5,0.05202,0.00089,0.05232,0.00015,0.0531,0.00015,17.6149,0.206551,36.8679,0.208308,-9.0,0,1,0.099567,0.02315,0.82077,0.091625,17.7273,0.0254217,0.00145572,3.40846e-05,-0.000368389,6.3544e-07,-6.23376e-07,33.7702,-20.7662,-999,-999,-9.0,85.9349,250,0.0152133,11.3736,0.17,54064.2,0.2449,45,225.36,7.802730000000001e-26,0.0573,0.0381,-0.1268,0.004,1.0,0.014,2006ot,11.3736,0.05202,36.8679,36.90593771729581,-0.0380377172958148,0.1421090445942124,63.13033408524015,,2.5,8.0,150.0,-10.0,8.7,early/compact,Forensic Adult (Saturated),10.479311501364746,1.0203327501114003,9.112444783795432,0.9999998083293796,0.8902597954068685,1.9167062037528382e-07,overflowing
2006ot,64,0.05202,0.00089,0.05232,0.00015,0.0531,0.00015,17.2903,0.297607,36.5433,0.298829,-9.0,0,0,0.13415,0.049045,-1.13594,0.4536,17.7779,0.0394795,0.00138939,5.05209e-05,0.000969474,1.23347e-06,-1.21154e-06,33.7702,-20.7662,-999,-999,-9.0,85.9349,250,0.0152133,11.3736,3.203,54064.9,0.8669,6,31.1061,2.41937e-05,0.1484,0.0381,-0.1472,0.007,1.0,0.017,2006ot,11.3736,0.05202,36.5433,36.90593771729581,-0.3626377172958115,-0.1824909554057842,73.30913372925482,,2.5,8.0,150.0,-10.0,8.7,early/compact,Forensic Adult (Saturated),10.479311501364746,1.0203327501114003,9.112444783795432,0.9999998083293796,0.8902597954068685,1.9167062037528382e-07,overflowing
