subset,N,mean_H0,highF_H0,lowF_H0,Adult_minus_Child_H0,signal_status
Calibrators: Mass Low (<9.5),5,64.81010050619523,70.08074935906738,62.14701570914803,7.933733649919354,positive maturity signal
HF: Mass Low (<9.5),14,73.73629945950165,75.54259806849379,73.01378001590479,2.5288180525890027,positive maturity signal
Calibrators: Mass Mid (9.5-10.5),21,60.94210299832283,65.109099108919,59.63127616747519,5.477822941443804,positive maturity signal
HF: Mass Mid (9.5-10.5),23,67.77182435732976,68.19945114318358,71.74229494745309,-3.542843804269509,negative/mixed
Calibrators: Mass High (>10.5),16,66.57978656464599,67.14537928979023,73.86876111273551,-6.723381822945285,negative/mixed
HF: Mass High (>10.5),21,71.42321503133823,71.7204374136624,,,undefined
